kod;cena;supplierId;typeid;nazov;balenie;
1211133-B20-01-888;5.59;8;9;RAVENOL ATF DSIH 6 - 20 L Bag in Box;bag;
1211125-001-01-999;6.79;8;9;RAVENOL DW-1 Fluid - 1 L (VE 12 Stück);1 L;0
1211117-001-01-999;6.89;8;9;RAVENOL ATF RED-1 - 1 L (VE 12 Stück);1 L;
1211116-001-01-999;7.99;8;9;RAVENOL ATF BTR 95LE - 1 L (VE 12 Stück);1 L;
1211116-010-01-999;6.99;8;9;RAVENOL ATF BTR 95LE - 10 L;plast;
1211116-B20-01-888;6.99;8;9;RAVENOL ATF BTR 95LE - 20 L Bag in Box;bag;
1211115-001-01-999;7.39;8;9;RAVENOL ATF J2/S Fluid - 1 L (VE 12 Stück);1 L;
1211110-001-01-999;7.79;8;9;RAVENOL CVT Fluid - 1 L (VE 12 Stück);1 L;
1211110-004-01-999;7.49;8;9;RAVENOL CVT Fluid - 4 L (VE 4 Stück);4 L;
1211110-010-01-999;7.09;8;9;RAVENOL CVT Fluid - 10 L;plast;
1211110-B20-01-888;7.04;8;9;RAVENOL CVT Fluid - 20 L Bag in Box;bag;
1211114-001-01-999;7.99;8;9;RAVENOL CVTF NS2/J1 Fluid - 1 L (VE 12 Stück);1 L;
1211114-B20-01-888;7.29;8;9;RAVENOL CVTF NS2/J1 Fluid - 20 L Bag in Box;bag;
1211132-001-01-999;8.79;8;9;RAVENOL CVTF NS3/J4 Fluid - 1 L (VE 12 Stück);1 L;
1211134-001-01-999;8.59;8;9;RAVENOL CVT KFE Fluid - 1 L (VE 12 Stück);1 L;
1211142-001-01-999;11;8;9;RAVENOL CVT HCF-2 Fluid - 1 L (VE 12 Stück);1 L;
1211142-B20-01-888;10;8;9;RAVENOL CVT HCF-2 Fluid - 20 L Bag in Box;bag;
1211108-001-01-999;7.09;8;9;RAVENOL ATF M 9-Serie - 1 L (VE 12 Stück);1 L;
1211108-004-01-999;6.89;8;9;RAVENOL ATF M 9-Serie - 4 L (VE 4 Stück);4 L;
1211108-020-01-999;6.59;8;9;RAVENOL ATF M 9-Serie - 20 L;plast;
