CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550032224;2.08;14;8;Rimula R3 10W (CF)_1*209L
SH-550032225;2.53;14;8;Rimula R3 10W (CF)_1*20L
SH-550041568;2.16;14;8;Rimula R3 Turbo 15W-40_1*209L
SH-550041567;2.53;14;8;Rimula R3 Turbo 15W-40_1*20L
SH-550045021;2.63;14;8;Rimula R3 Turbo 15W-40_3*5L
SH-550031958;2.43;14;8;Rimula R3+ 30_1*209L
SH-550033221;2.73;14;8;Rimula R3+ 30_1*20L
SH-550047252;1.85;14;8;Rimula R4 L 15W-40 1*209L
SH-550047251;2.36;14;8;Rimula R4 L 15W-40 1*20L
SH-550047336;2.28;14;8;Rimula R4 L 15W-40 1*55L
SH-550047337;2.78;14;8;Rimula R4 L 15W-40 3*5L
SH-100010314;1.9;14;8;Rimula R4 L 15W-40 IBC 1*1000L
SH-550036747;1.95;14;8;Rimula R4 X 15W40 1*1000L
SH-550036775;2.12;14;8;Rimula R4 X 15W40 1*209L
SH-550036738;2.38;14;8;Rimula R4 X 15W40_1*20L
SH-550055173;2.65;14;8;Rimula R4 X 15W-40_3*5L
SH-550033234;2.1;14;8;Rimula R5 E 10W-40_1*1000L
SH-550033236;2.25;14;8;Rimula R5 E 10W-40_1*209L
SH-550033235;2.63;14;8;Rimula R5 E 10W-40_1*20L
SH-550043120;2.53;14;8;Rimula R5 E 10W-40_1*55L
SH-550047175;2.48;14;8;Rimula R5 LE 10W-30 1*209L
SH-550047311;2.88;14;8;Rimula R5 LE 10W-30 1*20L
SH-100010312;2.45;14;8;Rimula R5 LE 10W-30 IBC_1*1000L
SH-550029381;2.58;14;8;Rimula R5 LM 10W-40_1*209L
SH-550043095;2.58;14;8;Rimula R5 M 10W-40_1*209L
SH-550044859;2.55;14;8;Rimula R6 LM 10W-40_1*209L
SH-550044858;2.98;14;8;Rimula R6 LM 10W-40_1*20L
SH-550054436;3.78;14;8;Rimula R6 LM 10W-40_3*5L
SH-550039382;2.65;14;8;Rimula R6 LME 5W-30_1*1000L
SH-550043091;2.85;14;8;Rimula R6 LME 5W-30_1*209L
SH-550043092;3.35;14;8;Rimula R6 LME 5W-30_1*20L
SH-550053997;3.78;14;8;Rimula R6 LME 5W-30_3*5L
SH-100009698;2.35;14;8;Rimula R6 M 10W-40 IBC_1*1000L
SH-550044826;2.48;14;8;Rimula R6 M 10W-40_1*209L
SH-550044843;2.88;14;8;Rimula R6 M 10W-40_1*20L
SH-550044856;2.33;14;8;Rimula R6 M 10W-40_1*55L
SH-550054435;3.18;14;8;Rimula R6 M 10W-40_3*5L
SH-550040121;3.01;14;8;Rimula R6 ME 5W30_1*209L
SH-550040122;3.38;14;8;Rimula R6 ME 5W30_1*20L
SH-550035977;2.39;14;8;Rimula R6 MS 10W40 E7LDF3_1*209L
SH-550036000;3.3;14;8;Rimula R6 MS 10W40 E7LDF3_1*20L
SH-550035976;2.75;14;8;Rimula R6 MS 10W40E 7LDF3_1*1000L
SH-550044853;3.03;14;8;Rimula Ultra 5W-30_1*1000L
SH-550044850;3.28;14;8;Rimula Ultra 5W-30_1*209L
SH-550044854;3.93;14;8;Rimula Ultra 5W-30_1*20L
SH-550054434;4.28;14;8;Rimula Ultra 5W-30_3*5L
SH-550046403;3.57;14;8;Rimula Ultra E Plus 5W-30 1*209L
SH-550046414;4.05;14;8;RImula Ultra E Plus 5W-30 1*20L
SH-550013776;4.03;14;8;Spirax MB 90_1*209L
SH-550027798;3.06;14;8;Spirax S1 ATF TASA_1*209L
SH-550027903;2.46;14;8;Spirax S2 A 80W-90 1*209L
SH-550027904;2.71;14;8;Spirax S2 A 80W-90 1*20L
SH-550027938;2.66;14;8;Spirax S2 A 85W-140 1*209L
SH-550027934;2.96;14;8;Spirax S2 A 85W-140 1*20L
SH-550027905;2.62;14;8;Spirax S2 ALS 90 1*209L
SH-550027908;3.16;14;8;Spirax S2 ALS 90 1*20L
SH-550027804;2.91;14;8;Spirax S2 ATF AX 1*209L
SH-550027799;3.26;14;8;Spirax S2 ATF AX 1*20L
SH-550027913;2.46;14;8;Spirax S2 G 80W-90 1*209L
SH-550027930;2.86;14;8;Spirax S2 G 80W-90 1*20L
SH-550055993;3.66;14;8;Spirax S3 ALS 85W-90_1*209L
SH-550027942;3.36;14;8;Spirax S3 AM 80W-90 1*209L
SH-550027941;3.91;14;8;Spirax S3 AM 80W-90 1*20L
SH-550027929;3.01;14;8;Spirax S3 AS 80W-140 1*209L
SH-550027976;4.06;14;8;Spirax S3 AS 80W-140 1*20L
SH-550027956;2.51;14;8;Spirax S3 AX 80W-90 1*1000L
SH-550027910;2.61;14;8;Spirax S3 AX 80W-90 1*209L
SH-550027911;2.98;14;8;Spirax S3 AX 80W-90 1*20L
SH-550027988;3.01;14;8;Spirax S3 AX 85W-140 1*209L
SH-550027955;3.41;14;8;Spirax S3 AX 85W-140 1*20L
SH-550027937;2.56;14;8;Spirax S3 G 80W 1*209L
SH-550027959;3.06;14;8;Spirax S3 G 80W_1*20L
SH-550027964;2.71;14;8;Spirax S3 G 80W-90 1*209L
SH-550027961;3.21;14;8;Spirax S3 G 80W-90 1*20L
SH-550027986;2.44;14;8;Spirax S3 T 1*209L
SH-550027987;2.76;14;8;Spirax S3 T 1*20L
SH-550027811;2.24;14;8;Spirax S3 TLV 1*209L
SH-550027820;2.81;14;8;Spirax S3 TLV 1*20L
SH-550027812;2.61;14;8;Spirax S3 TLV_1*1000L
SH-550027842;3.86;14;8;Spirax S4 ATF HDX 1*209L
SH-550027841;4.26;14;8;Spirax S4 ATF HDX 1*20L
SH-550027965;5.01;14;8;Spirax S4 ATF HDX 12*1L
SH-550027805;2.66;14;8;Spirax S4 CX 10W 1*209L
SH-550027807;3.01;14;8;Spirax S4 CX 10W_1*20L
SH-550027806;2.71;14;8;Spirax S4 CX 30 1*209L
SH-550027949;2.96;14;8;Spirax S4 CX 30_1*20L
SH-550027808;2.81;14;8;Spirax S4 CX 50_1*209L
SH-550054730;5.13;14;8;Spirax S4 G 75W-80 12*1L
SH-550027789;5.13;14;8;Spirax S4 G 75W-90 1*20L
SH-550027967;5.33;14;8;Spirax S4 G 75W-90 12*1L
SH-550027932;2.57;14;8;Spirax S4 TX 1*209L
SH-550027933;2.91;14;8;Spirax S4 TX 1*20L
SH-550027963;2.16;14;8;Spirax S4 TXM 1*1000L
SH-550027809;2.09;14;8;Spirax S4 TXM 1*209L
SH-550027810;2.61;14;8;Spirax S4 TXM 1*20L
SH-550027931;6.31;14;8;Spirax S5 ATE 75W-90_1*20L
SH-550027983;7.01;14;8;Spirax S5 ATE 75W-90_12*1L
SH-550036842;7.66;14;8;Spirax S6 ATF A295_1*20L
SH-550044224;5.41;14;8;Spirax S6 ATF ZM_1*1000L
SH-550044222;5.43;14;8;Spirax S6 ATF ZM_1*209L
SH-550027957;6.41;14;8;Spirax S6 AXME 75W140_1*209L
SH-550027907;4.3;14;8;Spirax S6 AXME 75W-90 1*209L
SH-550027906;4.66;14;8;Spirax S6 AXME 75W-90 1*20L
SH-550049074;5.66;14;8;Spirax S6 AXME 75W90_12*1L
SH-550040749;5.31;14;8;Spirax S6 GVME 75W-80 1*20L
SH-550040795;4.81;14;8;Spirax S6 GVME 75W-80_1*209L
SH-550027939;4.65;14;8;Spirax S6 GXME 75W-80 1*209L
SH-550027940;4.99;14;8;Spirax S6 GXME 75W-80 1*20L
SH-550027971;5.76;14;8;Spirax S6 GXME 75W-80 12*1L
SH-550027827;3.22;14;8;Spirax S6 TXME 1*209L
SH-550027828;3.4;14;8;Spirax S6 TXME 1*20L
