CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550053815;3.78;14;8;Advance 4T AX7 10W-40_12*1L
SH-550044448;3.63;14;8;Advance 4T AX7 15W-50 (SM/MA2)_12*1L
SH-550044443;3.58;14;8;Advance 4T AX7 15W-50_1*20L
SH-550044445;4.43;14;8;Advance 4T Ultra 10W-40 (SN/MA2) 1*20L
SH-550053785;4.12;14;8;Advance 4T Ultra 10W-40_12*1L
SH-550044442;3.83;14;8;Advance 4T Ultra 15W-50 (SM/MA2)_1*20L
SH-550053587;4.03;14;8;Advance 4T Ultra 15W-50 12*1L
SH-550053583;4.63;14;8;Advance Ultra 2T 12*1L
SH-550028348;4.63;14;8;Advance Ultra 2T 12*1L
SH-550046596;2.54;14;8;Helix HX3 15W-40_12x1L
SH-550039926;2.53;14;8;Helix HX3 15W-40_4*4L
SH-550052344;2.58;14;8;Helix HX5 15W-40_1*209L
SH-550046277;3.04;14;8;Helix HX5 15W-40_12*1L
SH-550046285;2.58;14;8;Helix HX5 15W-40_4*4L
SH-550053775;2.63;14;8;Helix HX6 10W-40 12*1L
SH-550053777;2.73;14;8;Helix HX6 10W-40 3*5L
SH-550052688;2.5;14;8;Helix HX6 10W-40_1*209L
SH-550053774;2.55;14;8;Helix HX6 10W-40_1*55L
SH-550052508;2.78;14;8;Helix HX7 10W-40_1*209L
SH-550053787;2.85;14;8;Helix HX7 10W-40_1*55L
SH-550053736;2.98;14;8;Helix HX7 10W-40_12*1L
SH-550053737;2.88;14;8;Helix HX7 10W-40_4*4L
SH-550052432;2.78;14;8;Helix HX7 5W-40 SN plus_1*209L
SH-550053752;2.81;14;8;Helix HX7 5W-40_1*55L
SH-550053739;2.98;14;8;Helix HX7 5W-40_12*1L
SH-550053770;3.1;14;8;Helix HX7 5W-40_4*4L
SH-550046589;4.13;14;8;Helix HX7 Professional AF 5W-30 12*1L
SH-550040412;3.21;14;8;Helix HX7 Professional AV 5W-30_1*209L
SH-550040406;3.4;14;8;Helix HX7 Professional AV 5W-30_1*55L
SH-550046311;4.02;14;8;Helix HX7 Professional AV 5W-30_12*1L
SH-550046292;3.99;14;8;Helix HX7 Professional AV 5W-30_3*5L
SH-550052836;2.98;14;8;Helix HX8 5W-40_1*209L
SH-550052792;2.99;14;8;Helix HX8 5W-40_1*55L
SH-550052794;3.52;14;8;Helix HX8 5W-40_12*1L
SH-550048141;3.14;14;8;Helix HX8 ECT 5W-30 1*55L
SH-550048056;3.33;14;8;Helix HX8 ECT 5W-30_1*209L
SH-550048140;4.21;14;8;Helix HX8 ECT 5W-30_12*1L
SH-550048100;3.99;14;8;Helix HX8 ECT 5W-30_3*5L
SH-550052837;3.28;14;8;Helix HX8 Synthetic 5W-40_4*4L
SH-550052462;4.33;14;8;Helix Ultra 0W-40_1*209L
SH-550052668;5;14;8;Helix Ultra 0W-40_12*1L
SH-550046267;4.43;14;8;Helix Ultra 5W-30 12*1L
SH-550040161;4.03;14;8;Helix Ultra 5W-30_1*209L
SH-550052677;4;14;8;Helix Ultra 5W-40 12*1L
SH-550052360;3.13;14;8;Helix Ultra 5W-40_1*209L
SH-550052673;3.43;14;8;Helix Ultra 5W-40_1*55L
SH-550052679;3.93;14;8;Helix Ultra 5W-40_4*4L
SH-550040501;3.82;14;8;Helix Ultra A5/B5 0W-30_1*209L
SH-550046659;4.73;14;8;Helix Ultra A5/B5 0W-30_12*1L
SH-550046306;4.43;14;8;Helix Ultra ECT C2/C3 0W_30_4*4L
SH-550042331;4.03;14;8;Helix Ultra ECT C2/C3 0W-30_1*209L
SH-550045937;4.53;14;8;Helix Ultra ECT C2/C3 0W-30_1*20L
SH-550042232;4.05;14;8;Helix Ultra ECT C2/C3 0W-30_1*55L
SH-550046305;4.85;14;8;Helix Ultra ECT C2/C3 0W-30_12*1L
SH-550042824;4.02;14;8;Helix Ultra ECT C3 5W-30 1*209L
SH-550042823;4.08;14;8;Helix Ultra ECT C3 5W-30 1*55L
SH-550050441;4.4;14;8;Helix Ultra ECT C3 5W-30 4*4L
SH-550049781;4.85;14;8;Helix Ultra ECT C3 5W-30_12*1L
SH-550042164;4.46;14;8;Helix Ultra Professional AB-L 0W-30 12*1L
SH-550042278;4.23;14;8;Helix Ultra Professional AF 5W-20_1*209L
SH-550055210;4.96;14;8;Helix Ultra Professional AF 5W-20_12*1L
SH-550040537;3.25;14;8;Helix Ultra Professional AF 5W-30 1*55L
SH-550040265;2.85;14;8;Helix Ultra Professional AF 5W-30_1*209L
SH-550046288;3.93;14;8;Helix Ultra Professional AF 5W-30_12*1L
SH-550040671;5.43;14;8;Helix Ultra Professional AF-L 5W-30_12*1L
SH-550046300;3.83;14;8;Helix Ultra Professional AG  5W-30_12*1L
SH-550040209;3.43;14;8;Helix Ultra Professional AG 5W-30_1*209L
SH-550040685;3.63;14;8;Helix Ultra Professional AG 5W-30_1*55L
SH-550040211;3.19;14;8;Helix Ultra Professional AM-L 5W-30_1*209L
SH-550042598;3.63;14;8;Helix Ultra Professional AM-L 5W-30_1*55L
SH-550046302;4.89;14;8;Helix Ultra Professional AM-L 5W-30_12*1L
SH-550043466;4.63;14;8;Helix Ultra Professional AP-L 0W-30_1*209L
SH-550054034;5.97;14;8;Helix Ultra Professional AP-L 0W-30_12*1L
SH-550040213;3.63;14;8;Helix Ultra Professional AP-L 5W-30_1*209L
SH-550046655;4.78;14;8;Helix Ultra Professional AP-L 5W-30_12*1L
SH-550040210;4.13;14;8;Helix Ultra Professional AR-L 5W-30_1*209L
SH-550040534;4.83;14;8;Helix Ultra Professional AR-L 5W-30_12*1L
SH-550045106;4.53;14;8;Helix Ultra Professional AS-L 0W-20_1*209L
SH-550055735;6.53;14;8;Helix Ultra Professional AS-L 0W-20_12*1L
SH-550040149;5.33;14;8;Helix Ultra Professional AV 0W-30_1*209L
SH-550047886;4.68;14;8;Helix Ultra Professional AV-L 0W-20 1*20L
SH-550048041;5.88;14;8;Helix Ultra Professional AV-L 0W-20 12*1L
SH-550041875;3.78;14;8;Helix Ultra Professional AV-L 0W-30_1*209L
SH-550041876;4.23;14;8;Helix Ultra Professional AV-L 0W-30_1*20L
SH-550041872;3.73;14;8;Helix Ultra Professional AV-L 0W-30_1*55L
SH-550046303;4.38;14;8;Helix Ultra Professional AV-L 0W-30_12*1L
SH-550046304;4.25;14;8;Helix Ultra Professional AV-L 0W-30_3*5L
SH-550048476;4.98;14;8;Helix Ultra Professional AV-L 5W-30_12*1L
SH-550046314;6.83;14;8;Helix Ultra Racing 10W-60 12*1L
SH-550040202;6.13;14;8;Helix Ultra Racing 10W-60_1*20L
SH-550046672;6.43;14;8;Helix Ultra Racing 10W-60_4*4L
SH-550052651;4.63;14;8;Helix Ultra SN plus 0W-20_12*1L
