CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550041872;4.60;14;8;Helix Ultra Professional AV-L 0W-30_1*55L
SH-550046303;5.26;14;8;Helix Ultra Professional AV-L 0W-30_12*1L
SH-550046304;5.13;14;8;Helix Ultra Professional AV-L 0W-30_3*5L
SH-550046314;7.75;14;8;Helix Ultra Racing 10W-60 12*1L
SH-550040194;6.83;14;8;Helix Ultra Racing 10W-60_1*209L
SH-550040202;7.01;14;8;Helix Ultra Racing 10W-60_1*20L
SH-550046672;7.34;14;8;Helix Ultra Racing 10W-60_4*4L
SH-550052651;5.52;14;8;Helix Ultra SN plus 0W-20_12*1L
SH-550063070;5.52;14;8;Helix Ultra SP 0W-20_12*1L
SH-550032224;2.69;14;8;Rimula R3 10W (CF)_1*209L
SH-550032225;3.15;14;8;Rimula R3 10W (CF)_1*20L
SH-550041568;2.78;14;8;Rimula R3 Turbo 15W-40_1*209L
SH-550041567;3.15;14;8;Rimula R3 Turbo 15W-40_1*20L
SH-550045021;3.25;14;8;Rimula R3 Turbo 15W-40_3*5L
SH-550031958;3.05;14;8;Rimula R3+ 30_1*209L
SH-550033221;3.35;14;8;Rimula R3+ 30_1*20L
SH-550047252;2.38;14;8;Rimula R4 L 15W-40 1*209L
SH-550047251;3.07;14;8;Rimula R4 L 15W-40 1*20L
SH-550047336;2.90;14;8;Rimula R4 L 15W-40 1*55L
SH-550047337;3.40;14;8;Rimula R4 L 15W-40 3*5L
SH-100010314;2.43;14;8;Rimula R4 L 15W-40 IBC 1*1000L
SH-550036747;2.56;14;8;Rimula R4 X 15W40 1*1000L
SH-550036775;2.74;14;8;Rimula R4 X 15W40 1*209L
SH-550036738;3.00;14;8;Rimula R4 X 15W40_1*20L
SH-550055173;3.27;14;8;Rimula R4 X 15W-40_3*5L
SH-550033234;2.87;14;8;Rimula R5 E 10W-40_1*1000L
SH-550033236;3.04;14;8;Rimula R5 E 10W-40_1*209L
SH-550033235;3.40;14;8;Rimula R5 E 10W-40_1*20L
SH-550043120;3.30;14;8;Rimula R5 E 10W-40_1*55L
SH-550047175;3.25;14;8;Rimula R5 LE 10W-30 1*209L
SH-550047311;3.46;14;8;Rimula R5 LE 10W-30 1*20L
SH-100010312;3.21;14;8;Rimula R5 LE 10W-30 IBC_1*1000L
SH-550029381;3.35;14;8;Rimula R5 LM 10W-40_1*209L
SH-550043095;3.35;14;8;Rimula R5 M 10W-40_1*209L
SH-550044859;3.20;14;8;Rimula R6 LM 10W-40_1*209L
SH-550044858;3.85;14;8;Rimula R6 LM 10W-40_1*20L
SH-550054436;4.57;14;8;Rimula R6 LM 10W-40_3*5L
SH-550039382;3.42;14;8;Rimula R6 LME 5W-30_1*1000L
SH-550043091;3.63;14;8;Rimula R6 LME 5W-30_1*209L
SH-550043092;4.03;14;8;Rimula R6 LME 5W-30_1*20L
SH-550053997;4.62;14;8;Rimula R6 LME 5W-30_3*5L
SH-550052713;3.91;14;8;Rimula R6 LME Plus 5W-30_1*209L
SH-550052712;4.50;14;8;Rimula R6 LME Plus 5W-30_1*20L
SH-550053680;5.28;14;8;Rimula R6 LME Plus 5W-30_3*5L
SH-100009698;3.06;14;8;Rimula R6 M 10W-40 IBC_1*1000L
SH-550044826;3.22;14;8;Rimula R6 M 10W-40_1*209L
SH-550044843;3.65;14;8;Rimula R6 M 10W-40_1*20L
SH-550044856;3.90;14;8;Rimula R6 M 10W-40_1*55L
SH-550054435;3.91;14;8;Rimula R6 M 10W-40_3*5L
SH-550040121;3.74;14;8;Rimula R6 ME 5W30_1*209L
SH-550040122;4.16;14;8;Rimula R6 ME 5W30_1*20L
SH-550035977;3.16;14;8;Rimula R6 MS 10W40 E7LDF3_1*209L
SH-550036000;3.88;14;8;Rimula R6 MS 10W40 E7LDF3_1*20L
SH-550035976;3.53;14;8;Rimula R6 MS 10W40E 7LDF3_1*1000L
SH-550062541;4.65;14;8;Rimula R7 AD 5W-30_1*209L
SH-550062543;4.34;14;8;Rimula R7 Plus AM 5W-20_1*209L
SH-550044853;3.81;14;8;Rimula Ultra 5W-30_1*1000L
SH-550044850;4.06;14;8;Rimula Ultra 5W-30_1*209L
SH-550044854;4.55;14;8;Rimula Ultra 5W-30_1*20L
SH-550013776;4.93;14;8;Spirax MB 90_1*209L
SH-550027798;3.87;14;8;Spirax S1 ATF TASA_1*209L
SH-550027903;3.26;14;8;Spirax S2 A 80W-90 1*209L
SH-550027904;3.52;14;8;Spirax S2 A 80W-90 1*20L
SH-550027938;3.46;14;8;Spirax S2 A 85W-140 1*209L
SH-550027934;3.77;14;8;Spirax S2 A 85W-140 1*20L
SH-550027905;3.43;14;8;Spirax S2 ALS 90 1*209L
SH-550027908;3.97;14;8;Spirax S2 ALS 90 1*20L
SH-550027804;3.71;14;8;Spirax S2 ATF AX 1*209L
SH-550027799;4.07;14;8;Spirax S2 ATF AX 1*20L
SH-550027913;3.26;14;8;Spirax S2 G 80W-90 1*209L
SH-550027930;3.67;14;8;Spirax S2 G 80W-90 1*20L
SH-550055993;4.48;14;8;Spirax S3 ALS 85W-90_1*209L
SH-550027942;4.18;14;8;Spirax S3 AM 80W-90 1*209L
SH-550027941;4.73;14;8;Spirax S3 AM 80W-90 1*20L
SH-550027929;3.82;14;8;Spirax S3 AS 80W-140 1*209L
SH-550027976;4.88;14;8;Spirax S3 AS 80W-140 1*20L
SH-550027956;3.31;14;8;Spirax S3 AX 80W-90 1*1000L
SH-550027910;3.42;14;8;Spirax S3 AX 80W-90 1*209L
SH-550027911;3.79;14;8;Spirax S3 AX 80W-90 1*20L
SH-550027988;3.82;14;8;Spirax S3 AX 85W-140 1*209L
SH-550027955;4.22;14;8;Spirax S3 AX 85W-140 1*20L
SH-550027937;3.36;14;8;Spirax S3 G 80W 1*209L
SH-550027959;3.87;14;8;Spirax S3 G 80W_1*20L
SH-550027964;3.52;14;8;Spirax S3 G 80W-90 1*209L
SH-550027961;4.02;14;8;Spirax S3 G 80W-90 1*20L
SH-550027986;3.24;14;8;Spirax S3 T 1*209L
SH-550027987;3.56;14;8;Spirax S3 T 1*20L
SH-550027811;3.04;14;8;Spirax S3 TLV 1*209L
SH-550027820;3.62;14;8;Spirax S3 TLV 1*20L
SH-550027842;4.68;14;8;Spirax S4 ATF HDX 1*209L
SH-550027841;5.09;14;8;Spirax S4 ATF HDX 1*20L
SH-550027965;5.85;14;8;Spirax S4 ATF HDX 12*1L
SH-550027805;3.47;14;8;Spirax S4 CX 10W 1*209L
SH-550027807;3.82;14;8;Spirax S4 CX 10W_1*20L
SH-550027806;3.52;14;8;Spirax S4 CX 30 1*209L
SH-550027949;3.77;14;8;Spirax S4 CX 30_1*20L
SH-550027808;3.61;14;8;Spirax S4 CX 50_1*209L
SH-550054730;5.97;14;8;Spirax S4 G 75W-80 12*1L
SH-550027789;5.97;14;8;Spirax S4 G 75W-90 1*20L
SH-550027967;6.17;14;8;Spirax S4 G 75W-90 12*1L
SH-550027932;3.38;14;8;Spirax S4 TX 1*209L
SH-550027933;3.72;14;8;Spirax S4 TX 1*20L
SH-550027963;2.83;14;8;Spirax S4 TXM 1*1000L
SH-550027809;2.94;14;8;Spirax S4 TXM 1*209L
SH-550027810;3.28;14;8;Spirax S4 TXM 1*20L
SH-550027931;7.36;14;8;Spirax S5 ATE 75W-90_1*20L
SH-550036842;8.73;14;8;Spirax S6 ATF A295_1*20L
SH-550044224;6.44;14;8;Spirax S6 ATF ZM_1*1000L
SH-550044222;6.46;14;8;Spirax S6 ATF ZM_1*209L
SH-550027957;7.46;14;8;Spirax S6 AXME 75W140_1*209L
SH-550027907;5.33;14;8;Spirax S6 AXME 75W-90 1*209L
SH-550027906;5.69;14;8;Spirax S6 AXME 75W-90 1*20L
SH-550049074;6.71;14;8;Spirax S6 AXME 75W90_12*1L
SH-550027939;5.69;14;8;Spirax S6 GXME 75W-80 1*209L
SH-550027940;6.03;14;8;Spirax S6 GXME 75W-80 1*20L
SH-550027971;6.81;14;8;Spirax S6 GXME 75W-80 12*1L
SH-550027827;4.24;14;8;Spirax S6 TXME 1*209L
SH-550027828;4.42;14;8;Spirax S6 TXME 1*20L
