CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550027228;4.84;14;8;Air Tool Oil S2 A 32 1*20L
SH-550027207;4.71;14;8;Air Tool Oil S2 A100_1*209L
SH-550027215;5.19;14;8;Air Tool Oil S2 A100_1*20L
SH-550026196;5.93;14;8;Corena S2 P 100 1*209L
SH-550026197;4.15;14;8;Corena S2 P 100 1*20L
SH-550026384;5.93;14;8;Corena S2 P 150_1*209L
SH-550026198;6.39;14;8;Corena S2 P 150_1*20L
SH-550026561;2.86;14;8;Corena S3 R 46_1*209L
SH-550026559;3.43;14;8;Corena S3 R 46_1*20L
SH-550026560;2.82;14;8;Corena S3 R 68 1*209L
SH-550027231;3.33;14;8;Corena S3 R 68_1*20L
SH-550027265;16.70;14;8;Corena S4 P 100_1*20L
SH-550026204;8.60;14;8;Corena S4 R 46 1*20L
SH-550054599;3.73;14;8;Diala S4 ZX-I_1*20L
SH-550028109;13.98;14;8;Gadus Rail S3 EUFR_1*50kg
SH-550028204;6.50;14;8;Gadus S1 V220 2_1*50kg
SH-550036172;12.45;14;8;Gadus S2 OG 40_1*18kg
SH-550036504;12.46;14;8;Gadus S2 OG 50_1*18kg
SH-550028047;8.78;14;8;Gadus S2 OGH 0/00_1*18kg
SH-550028052;9.65;14;8;Gadus S2 U460L 2 1*18kg
SH-550053536;11.66;14;8;Gadus S2 U460L 2_12*0.4kg
SH-550028032;8.13;14;8;Gadus S2 V100 2 1*18kg
SH-550053534;7.17;14;8;Gadus S2 V100 2 12*0.4kg
SH-550028033;7.18;14;8;Gadus S2 V100 2_1*180kg_A246
SH-550028035;7.30;14;8;Gadus S2 V100 3 1*180kg
SH-550028034;5.13;14;8;Gadus S2 V100 3 1*18kg
SH-550028037;7.96;14;8;Gadus S2 V100 3 1*50kg
SH-550028007;5.17;14;8;Gadus S2 V220 0 1*18kg
SH-550028011;8.40;14;8;Gadus S2 V220 0_1*50kg_
SH-550028030;5.17;14;8;Gadus S2 V220 00 1*18kg
SH-550028215;4.68;14;8;Gadus S2 V220 1_1*180kg
SH-550028217;5.23;14;8;Gadus S2 V220 1_1*18kg
SH-550025259;7.02;14;8;Gadus S2 V220 2 1*180kg
SH-550028023;4.55;14;8;Gadus S2 V220 2 1*50kg
SH-550050006;5.64;14;8;Gadus S2 V220 2 12*0.4kg
SH-550028216;4.98;14;8;Gadus S2 V220 2_1*18kg
SH-550050007;6.46;14;8;Gadus S2 V220 AC 2 12*0.4kg
SH-550050009;6.85;14;8;Gadus S2 V220 AD 2 12*0.4kg
SH-550025252;6.64;14;8;Gadus S2 V220AC 2 1*180kg
SH-550028042;4.82;14;8;Gadus S2 V220AC 2 1*18kg
SH-550028043;6.80;14;8;Gadus S2 V220AC 2 1*50kg
SH-550028111;11.35;14;8;Gadus S2 V220AD 2 1*18kg
