CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550028414;11.20;14;8;Gadus S2 V220AD 2 1*50kg
SH-550028096;13.94;14;8;Gadus S3 High Speed  Coupling Grease 1*18kg
SH-550028089;13.76;14;8;Gadus S3 T100 2_1*18kg
SH-550028053;13.97;14;8;Gadus S3 T220 2_1*18kg
SH-550028059;11.37;14;8;Gadus S3 T460 1.5 1*180kg
SH-550025251;10.23;14;8;Gadus S3 V220C 2 1*180kg
SH-550027995;5.75;14;8;Gadus S3 V220C 2 1*18kg
SH-550027996;7.72;14;8;Gadus S3 V220C 2 1*50kg
SH-550053532;7.07;14;8;Gadus S3 V220C 2 12*0.4kg
SH-550028001;6.45;14;8;Gadus S3 V460 2 1*180kg
SH-550028006;5.90;14;8;Gadus S3 V460 2 1*18kg
SH-550028120;5.55;14;8;Gadus S4 V45AC 00/000 1*18kg
SH-550028433;15.95;14;8;Gadus S5 V100 2_1*18kg
SH-550028101;11.69;14;8;Gadus S5 V142W 00_1*18kg
SH-550028010;15.34;14;8;Gadus S5 V220 2_1*180kg
SH-550036561;16.97;14;8;Gadus S5 V220 2_1*18kg
SH-550028244;16.39;14;8;Gadus S5 V42P 2.5_1*180kg
SH-550028104;16.84;14;8;Gadus S5 V42P 2.5_1*18kg
SH-550028106;15.57;14;8;GadusRail S3 EUDB 1*180kg
SH-550028114;16.05;14;8;GadusRail S3 EUDB_1*50kg
SH-550059610;13.47;14;8;GadusRail S3 EUFR 1*180kg
SH-550025731;3.96;14;8;Heat Transfer Oil S2 1*209L
SH-100005732;3.87;14;8;Heat Transfer S2 IBC_1*1000L
SH-550025730;3.87;14;8;Heat Transfer S2_1*1000L
SH-550025732;4.28;14;8;Heat Transfer S2_1*20L
SH-550027128;2.93;14;8;Hydraulic S1 M 46 1*209L
SH-550026395;2.99;14;8;Morlina S1 B 100 1*209L
SH-550027233;2.99;14;8;Morlina S1 B 150_1*209L
SH-550027235;3.82;14;8;Morlina S1 B 460 1*209L
SH-550026378;3.34;14;8;Morlina S2 B 100_1*209L
SH-550026380;3.92;14;8;Morlina S2 B 100_1*20L
SH-550026379;3.17;14;8;Morlina S2 B 150 1*209L
SH-550026246;3.89;14;8;Morlina S2 B 150_1*20L
SH-550026433;3.95;14;8;Morlina S2 B 220 1*209L
SH-550026432;4.25;14;8;Morlina S2 B 220_1*20L
SH-550026381;3.51;14;8;Morlina S2 B 46 1*209L
SH-550055978;4.49;14;8;Morlina S2 BL 10 1*209L
SH-550062216;3.63;14;8;Morlina S2 BL 10_1*20L
SH-550042871;10.75;14;8;Morlina S4 B 220_1*20L
SH-550035930;4.64;14;8;Mysella S3 N 40 1*209L
SH-100007770;4.70;14;8;Mysella S3 S 40 1*1000L
SH-100007770;4.84;14;8;Mysella S3 S 40 1*1000L
SH-550035910;4.77;14;8;Mysella S3 S 40 1*209L
SH-550035881;3.09;14;8;Mysella S5 N 40 1*209L
SH-100007761;2.84;14;8;Mysella S5 N 40 IBC_1*1000L
SH-550035900;3.21;14;8;Mysella S5 S 40_1*209L
SH-550030631;5.17;14;8;Naturelle Fluid HF-E 46 1*20L
SH-550060205;6.91;14;8;Naturelle S2 HF 15_1*20L
SH-550060211;4.76;14;8;Naturelle S2 HF 46_1*209L
SH-550041612;2.83;14;8;Omala S2 GX 100 1*209L
SH-550041640;3.09;14;8;Omala S2 GX 100 1*20L
SH-550041576;4.13;14;8;Omala S2 GX 150 1*1000L
SH-550041631;4.18;14;8;Omala S2 GX 150 1*209L
SH-550041577;2.84;14;8;Omala S2 GX 150 1*20L
SH-550041664;3.96;14;8;Omala S2 GX 220 1*1000L
SH-550041578;2.83;14;8;Omala S2 GX 220 1*209L
SH-550041650;3.13;14;8;Omala S2 GX 220 1*20L
SH-550041632;2.88;14;8;Omala S2 GX 320 1*209L
SH-550041621;3.06;14;8;Omala S2 GX 320 1*20L
SH-550041579;2.97;14;8;Omala S2 GX 460 1*209L
SH-550041661;3.39;14;8;Omala S2 GX 460_1*20L
SH-550041630;3.27;14;8;Omala S2 GX 68 1*20L
SH-550041575;2.85;14;8;Omala S2 GX 68_1*209L
SH-550041662;3.18;14;8;Omala S2 GX 680 1*209L
SH-550041663;3.49;14;8;Omala S2 GX 680 1*20L
SH-550027175;6.34;14;8;Omala S3 GP 220_1*209L
SH-550047049;6.71;14;8;Omala S4 GXV 150 1*209L
SH-550047048;7.65;14;8;Omala S4 GXV 150 1*20L
SH-550046690;7.02;14;8;Omala S4 GXV 220 1*209L
SH-550046603;7.40;14;8;Omala S4 GXV 220 1*20L
SH-550047086;7.43;14;8;Omala S4 GXV 320 1*20L
SH-550047087;13.49;14;8;Omala S4 GXV 320_1*209L
SH-550047046;14.37;14;8;Omala S4 GXV 460 1*209L
SH-550047045;7.66;14;8;Omala S4 GXV 460 1*20L
SH-550027182;12.45;14;8;Omala S4 WE 150 1*209L
SH-550043647;6.79;14;8;Omala S4 WE 150_1*20L
SH-550027185;12.01;14;8;Omala S4 WE 220 1*209L
SH-550027202;10.10;14;8;Omala S4 WE 220_1*1000L
SH-550043648;6.72;14;8;Omala S4 WE 220_1*20L
SH-550027170;12.00;14;8;Omala S4 WE 320 1*209L
SH-550043652;12.41;14;8;Omala S4 WE 320_1*20L
SH-550032995;14.03;14;8;Omala S4 WE 460 1*1000L
SH-550027189;14.46;14;8;Omala S4 WE 460 1*209L
SH-550043672;14.96;14;8;Omala S4 WE 460_1*20L
SH-550043651;13.87;14;8;Omala S4 WE 680_1*20L
SH-550035362;3.95;14;8;Ondina X 420_1*209L
SH-550041891;3.95;14;8;Ondina X 432_1*209L
SH-550025699;7.48;14;8;Refrigeration Oil S4 FR-V 32 1*209L
SH-550025698;6.79;14;8;Refrigeration Oil S4 FR-V 32 1*20L
SH-550025703;7.52;14;8;Refrigeration Oil S4 FR-V 68_1*209L
SH-550025706;3.04;14;8;Refrigeration S2 FR-A 68_1*209L
SH-550025692;3.61;14;8;Refrigeration S2 FR-A 68_1*20L
SH-550025710;11.92;14;8;Refrigeration S4 FR-F 68_1*20L
SH-550025702;5.75;14;8;Refrigeration S4 FR-V 68_1*20L
SH-550026338;4.41;14;8;Tellus S2 MA 10 1*209L
SH-550027119;3.64;14;8;Tellus S2 MA 32_1*209L
SH-550027121;4.24;14;8;Tellus S2 MA 46 1*1000L
SH-550027130;2.58;14;8;Tellus S2 MA 46 1*209L
SH-550027161;2.81;14;8;Tellus S2 MA 46 1*20L
SH-550045740;3.10;14;8;Tellus S2 MX 100_1*209L
SH-550045741;3.54;14;8;Tellus S2 MX 100_1*20L
SH-550045732;2.66;14;8;Tellus S2 MX 22_1*209L
SH-550045733;2.81;14;8;Tellus S2 MX 22_1*20L
SH-550045742;2.36;14;8;Tellus S2 MX 32_1*209L
SH-550045734;2.59;14;8;Tellus S2 MX 32_1*20L
SH-100010028;2.18;14;8;Tellus S2 MX 46 IBC_1*1000L
SH-550045419;2.27;14;8;Tellus S2 MX 46_1*209L
SH-550045430;2.41;14;8;Tellus S2 MX 46_1*20L
SH-550045417;2.38;14;8;Tellus S2 MX 68_1*209L
SH-550045418;2.65;14;8;Tellus S2 MX 68_1*20L
SH-550027113;3.32;14;8;Tellus S2 VA 46 1*209L
SH-550026366;5.40;14;8;Tellus S2 VA 46_1*20L
SH-550046327;3.46;14;8;Tellus S2 VX 15_1*20L
SH-550045737;2.51;14;8;Tellus S2 VX 32_1*1000L
SH-550045739;2.46;14;8;Tellus S2 VX 32_1*209L
SH-550045738;2.76;14;8;Tellus S2 VX 32_1*20L
SH-100010032;4.16;14;8;Tellus S2 VX 46 IBC_1*1000L
SH-550045524;2.35;14;8;Tellus S2 VX 46_1*209L
SH-550045525;2.67;14;8;Tellus S2 VX 46_1*20L
SH-550045527;2.85;14;8;Tellus S2 VX 68_1*209L
SH-550045522;3.00;14;8;Tellus S2 VX 68_1*20L
SH-550027137;3.77;14;8;Tellus S3 M 22 1*20L
SH-550026411;3.04;14;8;Tellus S3 M 32 1*209L
SH-550027112;3.28;14;8;Tellus S3 M 32 1*20L
SH-550026412;2.81;14;8;Tellus S3 M 46 1*209L
SH-550027134;3.14;14;8;Tellus S3 M 46 1*20L
SH-550027133;3.92;14;8;Tellus S3 M 68 1*1000L
SH-550026414;2.94;14;8;Tellus S3 M 68 1*209L
SH-550027138;3.33;14;8;Tellus S3 M 68 1*20L
SH-550027120;5.15;14;8;Tellus S3 V 32_1*209L
SH-550027122;5.44;14;8;Tellus S3 V 32_1*20L
SH-550027159;4.97;14;8;Tellus S3 V 46_1*1000L
SH-550027123;5.25;14;8;Tellus S3 V 46_1*209L
SH-550027125;5.15;14;8;Tellus S3 V 68_1*209L
SH-550027111;7.54;14;8;Tellus S4 ME 32_1*209L
SH-550048620;5.01;14;8;Tellus S4 VX 32_1*209L
SH-550016922;15.63;14;8;TF DCT-F3_1*20L
SH-550027222;3.82;14;8;Tonna S2 M 220 1*209L
SH-550027221;3.44;14;8;Tonna S2 M 220 1*20L
SH-550027220;3.69;14;8;Tonna S2 M 68 1*209L
SH-550027219;3.01;14;8;Tonna S2 M 68 1*20L
SH-550027210;3.17;14;8;Tonna S3 M 220 1*209L
SH-550027208;3.61;14;8;Tonna S3 M 220_1*20L
SH-550027218;4.78;14;8;Tonna S3 M 32 1*209L
SH-550027227;3.75;14;8;Tonna S3 M 32 1*20L
SH-550027209;3.10;14;8;Tonna S3 M 68 1*209L
SH-550027211;3.36;14;8;Tonna S3 M 68 1*20L
SH-550013827;4.31;14;8;Turbo Oil T 46 1*209L
SH-550013828;3.00;14;8;Turbo Oil T 68 1*209L
SH-550042862;5.13;14;8;Turbo S4 GX 32_1*209L
SH-550042880;5.00;14;8;Turbo S4 GX 46_1*209L
SH-550013826;4.48;14;8;Turbo T 32_1*209L
SH-550013830;4.83;14;8;Turbo T 46_1*20L
SH-550013831;4.93;14;8;Turbo T 68_1*20L
SH-550026397;4.34;14;8;Vacuum Pump Oil S2 R 100 1*20L
SH-550027223;3.81;14;8;Vacuum Pump S2 R 100_1*209L
