209113;188.27;4;6
209112;188.27;4;6
157352;177.31;4;6
160829;176.79;4;6
131684;62.22;4;6
209527;41.07;4;6
222720;22.96;4;6
202540;22.86;4;6
164122;20.95;4;6
172826;19.6;4;6
195628;19.37;4;6
196617;19.17;4;6
140223;19.15;4;6
161172;18.8;4;6
111651;18.65;4;6
161390;18.63;4;6
214025;17.76;4;6
183448;17.74;4;6
160825;17.35;4;6
174547;17.35;4;6
189336;17.01;4;6
214032;16.75;4;6
224571;16.64;4;6
140089;16.21;4;6
188292;16.1;4;6
214039;15.85;4;6
199335;15.45;4;6
190493;15.4;4;6
190497;15.36;4;6
214024;15.3;4;6
213208;15.25;4;6
160834;15.24;4;6
200541;14.83;4;6
188591;14.6;4;6
188475;14.58;4;6
188476;14.58;4;6
200532;14.56;4;6
200519;14.51;4;6
160821;14.36;4;6
211358;14.35;4;6
188583;14.33;4;6
202045;14.3;4;6
150470;14.21;4;6
164120;13.62;4;6
201304;13.08;4;6
160830;13.07;4;6
160822;12.37;4;6
199422;12.36;4;6
199423;12.36;4;6
112632;12.17;4;6
217711;11.96;4;6
205832;11.91;4;6
161241;11.88;4;6
214074;11.84;4;6
197734;11.82;4;6
201100;11.82;4;6
217710;11.81;4;6
205830;11.68;4;6
201377;11.68;4;6
214075;11.58;4;6
198030;11.53;4;6
130530;11.37;4;6
160818;10.89;4;6
160833;10.87;4;6
170669;10.85;4;6
161709;10.8;4;6
197566;10.66;4;6
200392;10.63;4;6
170667;10.63;4;6
190639;10.62;4;6
161405;10.55;4;6
187009;10.54;4;6
187223;10.53;4;6
182690;10.49;4;6
157376;10.48;4;6
182884;10.45;4;6
161328;10.4;4;6
200366;10.38;4;6
200395;10.36;4;6
182499;10.33;4;6
190640;10.29;4;6
147980;10.26;4;6
189338;10.26;4;6
187220;10.21;4;6
187224;10.2;4;6
196616;10.15;4;6
200367;10.15;4;6
200391;10.12;4;6
200394;10.06;4;6
140196;10.02;4;6
187226;9.97;4;6
189339;9.93;4;6
180949;9.83;4;6
176872;9.8;4;6
190594;9.8;4;6
213990;9.79;4;6
203654;9.76;4;6
165886;9.7;4;6
183658;9.68;4;6
182305;9.65;4;6
140084;9.63;4;6
187227;9.63;4;6
164578;9.55;4;6
182836;9.52;4;6
181740;9.5;4;6
190595;9.46;4;6
213246;9.44;4;6
188808;9.43;4;6
206436;9.42;4;6
