Č. tovaru;Cena za L/KG bez DPH;supplierId;eidtype
SH-550028010;13.93;14;8
SH-550036561;15.55;14;8
SH-550028104;15.45;14;8
SH-550028106;14.2;14;8
SH-550028114;14.68;14;8
SH-550028071;12.1;14;8
SH-550025731;3.13;14;8
SH-100005732;3.05;14;8
SH-550025730;3.05;14;8
SH-550025732;3.45;14;8
SH-550023159;3.53;14;8
SH-550046596;2.31;14;8
SH-550039926;2.3;14;8
SH-550018048;11;14;8
SH-550046589;3.87;14;8
SH-550040412;2.98;14;8
SH-550040406;3.17;14;8
SH-550046311;3.79;14;8
SH-550046292;3.66;14;8
SH-550048141;2.95;14;8
SH-550048056;3.1;14;8
SH-550048140;3.95;14;8
SH-550048100;3.76;14;8
SH-550046267;4.2;14;8
SH-550040161;3.8;14;8
SH-550040160;11.1;14;8
SH-550040501;3.59;14;8
SH-550046659;4.5;14;8
SH-550043226;13.32;14;8
SH-550042331;3.77;14;8
SH-550042232;3.82;14;8
SH-550046305;4.62;14;8
SH-550046306;4.2;14;8
SH-550042824;3.75;14;8
SH-550042823;3.85;14;8
SH-550040712;12.5;14;8
SH-550042164;4.23;14;8
SH-550042303;4.73;14;8
SH-550040537;2.95;14;8
SH-550040265;2.62;14;8
SH-550046288;3.7;14;8
SH-550040275;4.8;14;8
SH-550040671;5.2;14;8
SH-550046300;3.6;14;8
SH-550040209;3.2;14;8
SH-550040685;3.4;14;8
SH-550040144;13.7;14;8
SH-550040211;2.93;14;8
SH-550042598;3.4;14;8
SH-550046302;4.66;14;8
SH-550046655;4.55;14;8
SH-550040210;3.9;14;8
SH-550040534;4.6;14;8
SH-550040149;5.1;14;8
SH-550047887;17.02;14;8
SH-550047886;4.45;14;8
SH-550041868;15.24;14;8
SH-550041875;3.55;14;8
SH-550041876;4;14;8
SH-550041872;3.5;14;8
SH-550046303;4.15;14;8
SH-550046304;4.02;14;8
SH-550046314;6.6;14;8
SH-550040194;13;14;8
SH-550040202;5.9;14;8
SH-550027128;2;14;8
SH-550026395;1.99;14;8
SH-550027233;1.99;14;8
SH-550027235;2.81;14;8
SH-550026378;2.33;14;8
SH-550026380;2.91;14;8
SH-550026379;2.12;14;8
SH-550026246;2.86;14;8
SH-550026433;2.95;14;8
SH-550026432;3.23;14;8
SH-550026381;2.5;14;8
SH-550027245-2;3.76;14;8
SH-550043756-2;2.9;14;8
SH-550035762;3.79;14;8
SH-550035930;3.88;14;8
SH-100007770;3.79;14;8
SH-550035910;3.88;14;8
SH-550035843;3.79;14;8
SH-550035901;4.24;14;8
SH-550035890;3.7;14;8
SH-550035900;2.3;14;8
SH-550030660;8.45;14;8
SH-550030631;4.6;14;8
SH-550014081;35;14;8
SH-550026389;1.95;14;8
SH-550036383;2.85;14;8
SH-550027169;3.27;14;8
SH-550041576;3.27;14;8
SH-100005733;3.27;14;8
SH-550041631;3.36;14;8
SH-550041577;2.01;14;8
SH-550041578;1.85;14;8
SH-550041650;2.11;14;8
SH-550041621;2.13;14;8
SH-550041575;2.02;14;8
SH-550041630;2.44;14;8
SH-550026402;12.42;14;8
SH-550027192;12.9;14;8
SH-550027204;11.15;14;8
SH-550047049;5.64;14;8
SH-550047048;6.58;14;8
SH-550046690;5.95;14;8
SH-550047086;6.36;14;8
SH-550047046;13.3;14;8
SH-550047045;6.58;14;8
SH-550027182;11.4;14;8
SH-550027185;10.96;14;8
SH-550027202;9.05;14;8
SH-550027170;10.96;14;8
SH-550043652;11.34;14;8
SH-550032995;12.98;14;8
SH-550027189;13.41;14;8
SH-550043672;13.88;14;8
SH-550043651;12.8;14;8
SH-550035362;3.21;14;8
SH-550041891;3.21;14;8
SH-550025706;2.17;14;8
SH-550025702;4.62;14;8
SH-550025699;6.37;14;8
SH-550025692;2.74;14;8
SH-550025710;10.75;14;8
SH-550025698;5.84;14;8
SH-550033220;2.66;14;8
SH-550032224;1.88;14;8
SH-550032225;2.33;14;8
SH-550044054;4.44;14;8
SH-550041568;1.96;14;8
SH-550045021;2.43;14;8
SH-550031958;2.23;14;8
SH-550033221;2.53;14;8
SH-550031959;3.1;14;8
SH-550047252;1.65;14;8
SH-550047251;2.16;14;8
SH-550047336;2.08;14;8
SH-550047337;2.58;14;8
SH-550033230;1.8;14;8
SH-550033233PP;1.58;14;8
SH-550036747;1.75;14;8
SH-550036775;1.92;14;8
SH-550036738;2.18;14;8
SH-550033234;1.9;14;8
SH-550033236;2.03;14;8
SH-550033235;2.43;14;8
SH-550043120;2.33;14;8
SH-550047175;2.38;14;8
SH-550047311;2.68;14;8
SH-100010312;2.25;14;8
SH-550043110;2.4;14;8
SH-100004345;7.85;14;8
SH-550029381;2.38;14;8
SH-550043095;2.38;14;8
SH-550044857;2.4;14;8
SH-550044859;2.3;14;8
SH-550044858;2.78;14;8
SH-550039382;2.45;14;8
SH-550043091;2.65;14;8
SH-550043092;3.15;14;8
SH-100009698;2.1;14;8
SH-550044826;2.28;14;8
SH-550044843;2.68;14;8
SH-550044856;2.68;14;8
SH-550040121;2.81;14;8
SH-550040122;3.18;14;8
SH-550035976;2.55;14;8
SH-550035977;2.19;14;8
SH-550036000;3.1;14;8
SH-550044853;2.83;14;8
SH-550044850;3.08;14;8
SH-550044854;3.73;14;8
SH-550030600-2;2.65;14;8
SH-550031570;2.69;14;8
SH-550013776;3.8;14;8
SH-550027798;2.83;14;8
SH-550027903;2.23;14;8
SH-550027904;2.48;14;8
SH-550027953;3.82;14;8
SH-550027981;3.33;14;8
SH-550027938;2.43;14;8
SH-550027934;2.73;14;8
SH-550027905;2.39;14;8
SH-550027908;2.9;14;8
SH-550027804;2.68;14;8
SH-550027799;3.03;14;8
SH-550027913;2.23;14;8
SH-550027930;2.63;14;8
SH-550027942;3.13;14;8
SH-550027941;3.68;14;8
SH-550027929;2.78;14;8
SH-550027976;3.83;14;8
SH-550027956;2.28;14;8
SH-550027910;2.38;14;8
SH-550027911;2.75;14;8
SH-550027988;2.78;14;8
SH-550027955;3.18;14;8
SH-550027937;2.33;14;8
SH-550027959;2.83;14;8
SH-550027964;2.48;14;8
SH-550027961;2.98;14;8
SH-550027986;2.21;14;8
SH-550027987;2.53;14;8
SH-550027811;2.01;14;8
SH-550027820;2.58;14;8
SH-550027812;2.38;14;8
SH-550027842;3.63;14;8
SH-550027841;4.03;14;8
SH-550027965;4.78;14;8
SH-550027805;2.43;14;8
SH-550027807;2.78;14;8
SH-550027806;2.48;14;8
SH-550027949;2.73;14;8
SH-550027808;2.58;14;8
SH-550027789;4.9;14;8
SH-550027967;5.1;14;8
SH-550027932;2.31;14;8
SH-550027933;2.68;14;8
SH-550027963;1.93;14;8
SH-550027809;1.86;14;8
SH-550027810;2.38;14;8
SH-100005703;3.54;14;8
SH-550027931;6.08;14;8
SH-550027983;6.78;14;8
SH-550041211;6.59;14;8
SH-550014666;11.5;14;8
SH-550044222;5.2;14;8
SH-550027957;6.18;14;8
SH-550028393;4.05;14;8
SH-550027907;4.07;14;8
SH-550027906;4.43;14;8
SH-550040749;5.08;14;8
SH-550040795;4.58;14;8
SH-550027939;4.42;14;8
SH-550027940;4.76;14;8
SH-550027971;5.53;14;8
SH-550027827;2.99;14;8
SH-550027828;3.17;14;8
SH-550001964;6.35;14;8
SH-550027115;2.31;14;8
SH-550026338;3.52;14;8
SH-550027119;2.75;14;8
SH-550027121;3.56;14;8
SH-550027130;1.75;14;8
SH-550027161;1.92;14;8
SH-550045740;2.41;14;8
SH-550045732;1.77;14;8
SH-550045733;1.92;14;8
SH-550045742;1.54;14;8
SH-550045734;1.87;14;8
SH-550045419;1.45;14;8
SH-550045430;1.69;14;8
SH-550045432;2.31;14;8
SH-550045417;1.56;14;8
SH-550045418;1.97;14;8
SH-550026242;3.98;14;8
SH-550026235;3.75;14;8
SH-550026372;3.28;14;8
SH-550027113;4.27;14;8
SH-550026366;4.5;14;8
SH-550045631;3.8;14;8
SH-550045747;3.75;14;8
SH-550046327;2.56;14;8
SH-550045737;1.62;14;8
