kod;cena;a;b
890 802;2.86;2;1
890 805;3.11;2;1
890 804;2.86;2;1
890 807;3.11;2;1
890 806;2.86;2;1
890 809;3.16;2;1
890 808;2.91;2;1
890 831;3.16;2;1
890 810;2.91;2;1
890 824;3.16;2;1
890 823;2.91;2;1
890 825;3.41;2;1
890 826;3.16;2;1
890 828;3.46;2;1
890 827;3.21;2;1
890 830;3.51;2;1
890 829;3.26;2;1
882 115;4.97;2;1
882 161;4.83;2;1
882 116;5.03;2;1
882 162;4.93;2;1
882 117;5.1;2;1
882 163;4.98;2;1
882 118;5.47;2;1
882 164;5.22;2;1
882 119;5.36;2;1
882 165;5.19;2;1
882 120;3.47;2;1
882 166;5.28;2;1
891 054;3.28;2;1
891 046;3.03;2;1
891 055;3.18;2;1
891 047;2.93;2;1
891 056;3.23;2;1
891 048;2.98;2;1
891 057;3.33;2;1
891 049;3.08;2;1
891 062;3.41;2;1
891 050;3.16;2;1
891 064;3.41;2;1
891 051;3.16;2;1
891 063;3.23;2;1
891 052;2.98;2;1
891 065;3.61;2;1
891 053;3.35;2;1
896 172;3.78;2;1
895 289;2.77;2;1
895 401;2.6;2;1
802 254;5.11;2;1
VE20726;4.53;2;1
797 956;4.9;2;1
VE20796;4.25;2;1
802 256;5.1;2;1
VE20736;4.5;2;1
797 955;5.1;2;1
VE20756;4.5;2;1
802 258;5.1;2;1
VE20776;4.51;2;1
802 282;5.1;2;1
VE20746;4.51;2;1
802 284;5.11;2;1
VE20905;4.55;2;1
802 253;4.64;2;1
VE20706;4.08;2;1
863 593;5.11;2;1
863 592;4.58;2;1
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
