kod;cena;a;b
VE20080;6.09;2;1
VE20070;5.42;2;1
802260;5.09;2;1
887098;5.59;2;1
887099;4.00;2;1
887100;4.06;2;1
887111;4.89;2;1
890610;4.38;2;1
890604;4.38;2;1
890611;2.59;2;1
890605;2.74;2;1
890609;3.27;2;1
890608;2.87;2;1
890607;3.27;2;1
890603;2.58;2;1
890602;2.66;2;1
890606;4.05;2;1
887452;5.23;2;1
VE55340;7.41;2;1
887083;3.25;2;1
887065;2.89;2;1
887055;4.49;2;1
887042;4.02;2;1
887047;4.16;2;1
887051;3.30;2;1
887048;3.95;2;1
887053;3.42;2;1
887052;6.30;2;1
887062;6.07;2;1
887056;3.98;2;1
887066;3.43;2;1
887044;3.43;2;1
887082;3.13;2;1
887049;4.32;2;1
889708;4.32;2;1
887046;3.12;2;1
887045;5.47;2;1
887061;2.93;2;1
887041;2.95;2;1
887063;3.55;2;1
887070;4.20;2;1
887071;3.73;2;1
886067;4.24;2;1
886086;4.66;2;1
887054;5.32;2;1
887069;5.92;2;1
887081;2.43;2;1
887060;2.30;2;1
887179;3.40;2;1
887088;3.14;2;1
VE59020;2.77;2;1
VE91393;13.69;2;1
874738;3.51;2;1
874739;3.41;2;1
874761;3.01;2;1
874740;2.91;2;1
896752;2.52;2;1
896753;2.38;2;1
896754;2.24;2;1
896755;2.15;2;1
889278;4.53;2;1
896128;3.98;2;1
889238;4.33;2;1
896261;2.50;2;1
896240;2.36;2;1
896239;2.22;2;1
