kod;cena;a;b
896 095;4.47;2;1
890 544;4.37;2;1
896 056;4.25;2;1
883 429;3.23;2;1
883 461;4.69;2;1
883 464;4.23;2;1
883 462;5.36;2;1
887 095;3.90;2;1
887 112;4.34;2;1
VE20050;5.74;2;1
VE20040;4.97;2;1
801 431;4.75;2;1
887 096;4.13;2;1
VE20080;6.09;2;1
VE20070;5.42;2;1
802 260;5.09;2;1
887 098;5.59;2;1
887 099;4.00;2;1
887 100;4.06;2;1
887 111;4.89;2;1
890 610;4.38;2;1
890 604;4.38;2;1
890 611;2.59;2;1
890 605;2.74;2;1
890 609;3.27;2;1
890 608;2.87;2;1
890 607;3.27;2;1
890 603;2.58;2;1
890 602;2.66;2;1
890 606;4.05;2;1
887 452;5.23;2;1
VE55340;7.41;2;1
887 083;3.25;2;1
887 065;2.89;2;1
887 055;4.49;2;1
887 042;4.02;2;1
887 047;4.16;2;1
887 051;3.30;2;1
887 048;3.95;2;1
887 053;3.42;2;1
887 052;6.30;2;1
887 062;6.07;2;1
887 056;3.98;2;1
887 066;3.43;2;1
887 044;3.43;2;1
887 082;3.13;2;1
887 049;4.32;2;1
889 708;4.32;2;1
887 046;3.12;2;1
887 045;5.47;2;1
887 061;2.93;2;1
887 041;2.95;2;1
887 063;3.55;2;1
887 070;4.20;2;1
887 071;3.73;2;1
886 067;4.24;2;1
886 086;4.66;2;1
887 054;5.32;2;1
887 069;5.92;2;1
887 081;2.43;2;1
887 060;2.30;2;1
887 179;3.40;2;1
887 088;3.14;2;1
VE59020;2.77;2;1
VE91393;13.69;2;1
874 738;3.51;2;1
874 739;3.41;2;1
874 761;3.01;2;1
874 740;2.91;2;1
896 752;2.52;2;1
896 753;2.38;2;1
896 754;2.24;2;1
896 755;2.15;2;1
889 278;4.53;2;1
896 128;3.98;2;1
889 238;4.33;2;1
896 261;2.50;2;1
896 240;2.36;2;1
896 239;2.22;2;1
