kod;cena za l kartonovy;supplierId;typeid
1340101-005-03-000;4.60;8;9
1340101-400-04-999;2.70;8;9
1340102-001-03-000;6.29;8;9
1340102-005-03-000;5.78;8;9
1340102-400-04-999;2.99;8;9
1340103-001-03-000;6.30;8;9
1340103-005-03-000;6.29;8;9
1340103-400-04-999;3.20;8;9
1340117-001-03-000;6.99;8;9
1340117-005-03-000;6.31;8;9
1340117-400-04-999;3.16;8;9
1340128-400-04-999;3.99;8;9
1340104-400-04-999;2.99;8;9
1350601-001-01-000;5.80;8;9
1350601-250-05-000;2.60;8;9
1350601-500-05-000;3.80;8;9
1350602-001-01-000;7.25;8;9
1350604-500-01-000;13.90;8;9
1350605-001-01-000;5.90;8;9
1350131-020-01-999;5.99;8;9
1410120-150-01-999;4.69;8;9
1410122-150-01-999;4.29;8;9
1410128-150-01-999;4.99;8;9
1410141-150-01-999;4.69;8;9
1410125-150-01-999;4.99;8;9
1390201-300-05-000;4.39;8;9
1390202-300-05-000;4.89;8;9
1390203-300-05-000;4.89;8;9
1390204-300-05-000;3.99;8;9
1390241-300-05-000;4.59;8;9
1390242-300-05-000;4.89;8;9
1390243-300-05-000;4.99;8;9
1390244-300-05-000;4.99;8;9
1390321-300-05-000;6.69;8;9
1430220-001-01-000;6.90;8;9
1360066-005-01-000;2.99;8;9
1360066-500-05-000;2.99;8;9
1360067-005-01-000;2.99;8;9
1360067-500-05-000;2.99;8;9
1360060-005-01-000;4.99;8;9
1360060-500-05-000;3.99;8;9
1360025-500-05-000;2.50;8;9
1360059-500-05-000;2.50;8;9
1360005-001-01-000;2.50;8;9
1360004-500-05-000;3.99;8;9
1360033-400-05-000;3.50;8;9
1360034-400-05-000;3.50;8;9
1360001-500-05-000;3.50;8;9
1360002-500-05-000;3.20;8;9
1360068-500-05-000;2.99;8;9
1360009-400-05-000;2.99;8;9
1360030-005-01-000;2.79;8;9
1360030-500-05-000;1.79;8;9
1360600-010-01-000;2.20;8;9
1360600-500-05-000;2.50;8;9
1370190-001-02-000;23.90;8;9
1370500-001-02-000;14.90;8;9
1111103-001-01-999;7.99;8;9
1111103-004-01-999;7.29;8;9
1111103-060-01-999;6.59;8;9
1111103-B20-01-888;6.99;8;9
1111102-001-01-999;6.63;8;9
1111102-005-01-A01;4.98;8;9
