kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1211106-020-01-999;6.1;8;9;RAVENOL ATF T-WS Lifetime - 20 L;plast;
1211106-B20-01-888;6.1;8;9;RAVENOL ATF T-WS Lifetime - 20 L Bag in Box;bag;
1211109-001-01-999;6.45;8;9;RAVENOL ATF Type Z1 Fluid - 1 L (VE 12 Stück);1 L;ATF HONDA
1211109-004-01-999;6.2;8;9;RAVENOL ATF Type Z1 Fluid - 4 L (VE 4 Stück);4 L;
1211109-010-01-999;5.99;8;9;RAVENOL ATF Type Z1 Fluid - 10 L;plast;
1211109-020-01-999;5.99;8;9;RAVENOL ATF Type Z1 Fluid - 20 L;plast;
1211109-B20-01-888;5.99;8;9;RAVENOL ATF Type Z1 Fluid - 20 L Bag in Box;bag;
1211107-001-01-999;6.99;8;9;RAVENOL ATF SP-IV Fluid - 1 L (VE 12 Stück);1 L;HYUNDAI
1211107-004-01-999;6.69;8;9;RAVENOL ATF SP-IV Fluid - 4 L (VE 4 Stück);4 L;
1211107-010-01-999;6.3;8;9;RAVENOL ATF SP-IV Fluid - 10 L;plast;
1211107-020-01-999;6.2;8;9;RAVENOL ATF SP-IV Fluid - 20 L;plast;
1211107-B20-01-888;6.2;8;9;RAVENOL ATF SP-IV Fluid - 20 L Bag in Box;bag;
1211138-001-01-999;5.9;8;9;RAVENOL ATF SP-IV RR - 1 L (VE 12 Stück);1 L;HYUNDAI - 8 RÝCHLOSTNÝ
1211138-004-01-999;5.5;8;9;RAVENOL ATF SP-IV RR - 4 L (VE 4 Stück);4 L;
1211138-020-01-999;4.99;8;9;RAVENOL ATF SP-IV RR - 20 L;plast;
1211138-B20-01-888;4.99;8;9;RAVENOL ATF SP-IV RR - 20 L Bag in Box;bag;
1212103-001-01-999;6.5;8;9;RAVENOL ATF MM SP-III Fluid - 1 L (VE 12 Stück);1 L;ATF SP-III:  Mitsubishi, Hyundai
1212103-004-01-999;6.3;8;9;RAVENOL ATF MM SP-III Fluid - 4 L (VE 4 Stück);4 L;
1212103-010-01-999;5.99;8;9;RAVENOL ATF MM SP-III Fluid - 10 L;plast;
1212103-020-01-999;5.99;8;9;RAVENOL ATF MM SP-III Fluid - 20 L;plast;
1212103-B20-01-888;5.99;8;9;RAVENOL ATF MM SP-III Fluid - 20 L Bag in Box;bag;
1211126-001-01-999;8.49;8;9;RAVENOL ATF MM-PA Fluid - 1 L (VE 12 Stück);1 L;ATF-PA: Mitsubishi DIA QUEEN 
1211126-010-01-999;7.99;8;9;RAVENOL ATF MM-PA Fluid - 10 L;plast;
1211126-B20-01-888;7.99;8;9;RAVENOL ATF MM-PA Fluid - 20 L Bag in Box;bag;
1211118-001-01-999;5.6;8;9;RAVENOL ATF JF405E - 1 L (VE 12 Stück);1 L;4 RÝCHLOSTNÝ JATCO
1211118-010-01-999;5.3;8;9;RAVENOL ATF JF405E - 10 L;plast;
1211118-B20-01-888;5.3;8;9;RAVENOL ATF JF405E - 20 L Bag in Box;bag;
1211119-001-01-999;6.5;8;9;RAVENOL ATF JF506E - 1 L (VE 12 Stück);1 L;5 RÝCHLOSTNÝ JATCO
1211119-004-01-999;6.3;8;9;RAVENOL ATF JF506E - 4 L (VE 4 Stück);4 L;
1211119-010-01-999;5.99;8;9;RAVENOL ATF JF506E - 10 L;plast;
1211119-B20-01-888;5.99;8;9;RAVENOL ATF JF506E - 20 L Bag in Box;bag;
1211121-001-01-999;6.5;8;9;RAVENOL ATF Matic Fluid Type D - 1 L (VE 12 Stück);1 L;4 a 5 RÝCHLOSTNÝ : Nissan
1211121-010-01-999;5.99;8;9;RAVENOL ATF Matic Fluid Type D - 10 L;plast;
1211121-B20-01-888;5.99;8;9;RAVENOL ATF Matic Fluid Type D - 20 L Bag in Box;bag;
