kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1222102-004-01-999;6.6;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1222102-010-01-999;6.3;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 10 L;plast;
1222102-B20-01-888;6.3;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 20 L Bag in Box;bag;
1145100-001-01-999;9.5;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 1 L (VE 12 Stück);1 L;ŠPORT PREVODY
1145100-004-01-999;8.8;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1145100-B20-01-888;8.5;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 20 L Bag in Box;bag;
1221109-001-01-999;10.9;8;9;RAVENOL TDG 75W-110 - 1 L (VE 12 Stück);1 L;API GL-4, API GL-5, MT-1, LKW
1221109-010-01-999;10.75;8;9;RAVENOL TDG 75W-110 - 10 L;plast;
1221109-020-01-999;10.5;8;9;RAVENOL TDG 75W-110 - 20 L;plast;
1221110-001-01-999;9.25;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 1 L (VE 12 Stück);1 L;API GL-5
1221110-004-01-999;9;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 4 L (VE 4 Stück);4 L;
1221110-010-01-999;8.6;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 10 L;plast;
1221110-B20-01-888;8.6;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 20 L Bag in Box;bag;
1223101-001-01-999;4.49;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 1 L (VE 12 Stück);1 L;API GL-4
1223101-004-01-999;4.29;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 4 L (VE 4 Stück);4 L;
1223101-010-01-999;3.99;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 10 L;plast;
1223101-B20-01-888;2.99;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 20 L Bag in Box;bag;
1223201-001-01-999;4.3;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 1 L (VE 12 Stück);1 L;API GL-5
1223201-004-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 4 L (VE 4 Stück);4 L;
1223201-010-01-999;3.99;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 10 L;plast;
1223201-B20-01-888;3.99;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 20 L Bag in Box;bag;
1223105-001-01-999;4.99;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 1 L (VE 12 Stück);1 L;API GL-4
1223105-004-01-999;4.79;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 4 L (VE 4 Stück);4 L;
1223105-010-01-999;4.2;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 10 L;plast;
1223105-B20-01-888;4.2;8;9;RAVENOL Getriebeoel MZG SAE 80W-90 GL-4 - 20 L Bag in Box;bag;
1223205-001-01-999;4.3;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 1 L (VE 12 Stück);1 L;API GL-5
1223205-004-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 4 L (VE 4 Stück);4 L;
1223205-010-01-999;3.99;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 10 L;plast;
1223205-B20-01-888;3.99;8;9;RAVENOL Getriebeoel EPX SAE 80W-90 GL-5 - 20 L Bag in Box;bag;
1223305-001-01-999;4.99;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 1 L (VE 12 Stück);1 L;API GL-3, API GL-4, API GL-5, MT-1
1223305-004-01-999;4.79;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 4 L (VE 4 Stück);4 L;LKW
1223305-010-01-999;4.2;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 10 L;plast;
1223305-B20-01-888;4.2;8;9;RAVENOL Getriebeoel SLG SAE 80W-90 - 20 L Bag in Box;bag;
1222201-001-01-999;6.5;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 1 L (VE 12 Stück);1 L; API GL-5
1222201-004-01-999;6.3;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 4 L (VE 4 Stück);4 L;
1222201-B20-01-888;5.99;8;9;RAVENOL Getriebeoel SGO SAE 80W-140 GL-5 - 20 L Bag in Box;bag;
1223206-004-01-999;3.95;8;9;RAVENOL Getriebeoel EPX SAE 85W-90 GL-5 - 4 L (VE 4 Stück);4 L; API GL-5, LKW
1223206-B20-01-888;3.65;8;9;RAVENOL Getriebeoel EPX SAE 85W-90 GL-5 - 20 L Bag in Box;bag;
1223301-001-01-999;5.6;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 1 L (VE 12 Stück);1 L; API GL-5, LKW
1223301-004-01-999;5.5;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 4 L (VE 4 Stück); 4 L;
1223301-B20-01-888;4.99;8;9;RAVENOL Sperrdiff. Hyp. Getr.öl LS SAE 85W-90 GL-5 - 20 L Bag in Box;bag;
1223211-001-01-999;4.99;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 1 L (VE 12 Stück);1 L; API GL-5
1223211-004-01-999;4.79;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 4 L (VE 4 Stück);4 L;
1223211-010-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 10 L;plast;
1223211-B20-01-888;4.2;8;9;RAVENOL Getriebeoel EPX SAE 85W-140 GL-5 - 20 L Bag in Box;bag;
1223202-001-01-999;4.3;8;9;RAVENOL Getriebeoel EPX SAE 90W GL-5 - 1 L (VE 12 Stück);1 L; API GL-5
1223202-004-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 4 L (VE 4 Stück);4 L;
1223202-010-01-999;3.99;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 10 L;plast;
1223202-B20-01-888;3.99;8;9;RAVENOL Getriebeoel EPX SAE 90 GL-5 - 20 L Bag in Box;bag;
1223302-001-01-999;5.5;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 1 L (VE 12 Stück);1 L; API GL-5
1223302-004-01-999;5.5;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 4 L (VE 4 Stück);4 L;
1223302-010-01-999;5.1;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 10 L;plast;
1223302-B20-01-888;5.1;8;9;RAVENOL Sperrdiff.-Getr.-Oel LS 90 - 20 L Bag in Box;bag;
1223102-001-01-999;4.99;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 1 L (VE 12 Stück);1 L; API GL-4
1223102-004-01-999;4.79;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 4 L (VE 4 Stück);4 L;
1223102-010-01-999;4.2;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 10 L;plast;
1223102-B20-01-888;4.2;8;9;RAVENOL Getriebeoel MZG SAE 90 GL-4 - 20 L Bag in Box;bag;
1223210-001-01-999;4.99;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 1 L (VE 12 Stück);1 L;API GL-5, API GL-4
1223210-004-01-999;4.79;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 4 L (VE 4 Stück);4 L;
1223210-010-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 10 L;plast;
1223210-020-01-999;4.2;8;9;RAVENOL Getriebeoel EPX SAE 140 GL-4/GL-5 - 20 L;plast;
1221111-001-01-999;13.9;8;9;RAVENOL Racing Gearoil - 1 L (VE 12 Stück);1 L;API GL-5, DREXLER DIFF.
1221111-004-01-999;12.9;8;9;RAVENOL Racing Gearoil - 4 L (VE 4 Stück);4 L;
1221111-B20-01-888;12.5;8;9;RAVENOL Racing Gearoil - 20 L Bag in Box;bag;
1221105-001-01-999;8.59;8;9;RAVENOL STF Synchromesh Transmission Fluid - 1 L (VE 12 Stück);1 L;GENERAL MOTORS DIFF.
1221105-004-01-999;8.39;8;9;RAVENOL STF Synchromesh Transmission Fluid - 4 L (VE 4 Stück);4 L;
1221105-010-01-999;7.99;8;9;RAVENOL STF Synchromesh Transmission Fluid - 10 L;plast;
1221105-B20-01-888;7.99;8;9;RAVENOL STF Synchromesh Transmission Fluid - 20 L Bag in Box;bag;
1182101-001-01-999;5.8;8;9;RAVENOL FORKOIL Ultra Light 2,5W - 1 L (VE 12  Stück);1 L;
1182102-001-01-999;5.8;8;9;RAVENOL FORKOIL Light 5W - 1 L (VE 12  Stück);1 L;
1182104-001-01-999;4.2;8;9;RAVENOL FORKOIL Medium 10W - 1 L (VE 12 Stück);1 L;
1182105-001-01-999;4.2;8;9;RAVENOL FORKOIL Heavy 15W - 1 L (VE 12 Stück);1 L;
1182106-001-01-999;4.2;8;9;RAVENOL FORKOIL Very Heavy 20W - 1 L (VE 12 Stück);1 L;
1340109-090-04-016;2.99;8;9;RAVENOL Kupferpaste - 0,09kg  = 90 g (VE 16 Stück);tuba;MEDENÁ PASTA
1340107-001-03-000;5.5;8;9;RAVENOL KFZ-Fließfett ZSA - 1 kg (VE 12 Stück);1 kg;FARBA: ZELENÁ
1340107-005-03-000;5.2;8;9;RAVENOL KFZ-Fließfett ZSA - 5 kg (VE 1 Stück);vedro;
1340101-001-03-000;4.7;8;9;RAVENOL Mehrzweckfett OML - 1 kg (VE 12 Stück);1 kg;FARBA: HNEDÁ
1340101-005-03-000;4.5;8;9;RAVENOL Mehrzweckfett OML - 5 kg (VE 1 Stück);vedro;
1340101-400-04-999;2.7;8;9;RAVENOL Mehrzweckfett OML - 0,4kg  = 400 g Kartusche (VE 24 Stück);kartuša;
1340102-001-03-000;5.5;8;9;RAVENOL Mehrzweckfett mit Graphit - 1 kg (VE 12 Stück);1 kg;FARBA: ĆIERNA
1340102-005-03-000;5.2;8;9;RAVENOL Mehrzweckfett mit Graphit - 5 kg (VE 1 Stück);vedro;
1340102-400-04-999;2.79;8;9;RAVENOL Mehrzweckfett mit Graphit - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;
1340103-001-03-000;6.1;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 1 kg (VE 12 Stück);1 kg;FARBA: ŠEDÁ
1340103-005-03-000;5.8;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 5 kg (VE 1 Stück);vedro;
1340103-400-04-999;2.99;8;9;RAVENOL Mehrzweckfett mit MoS-2 - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;
1340117-001-03-000;6.5;8;9;RAVENOL LKW FETT BLAU - 1 kg (VE 12 Stück);1 kg;FARBA: MODRÁ
1340117-005-03-000;5.9;8;9;RAVENOL LKW FETT BLAU - 5 kg (VE 1 Stück);vedro;
1340117-400-04-999;2.99;8;9;RAVENOL LKW FETT BLAU - 0,4kg = 400 g Kartusche (VE 24 Stück);kartuša;
1340128-400-04-999;3.99;8;9;RAVENOL Marinefett - 0,4kg  = 400 g Kartusche (VE 24 Stück);kartuša;FARBA: ZELENO-ŽLTÁ
1340104-400-04-999;2.5;8;9;RAVENOL Super EP-Langzeitfett - 0,4kg  = 400 g  Kartusche (VE 24 Stück);kartuša;FARBA: HNEDÁ
1350601-001-01-000;4.65;8;9;RAVENOL DOT 4 - 1 L (VE 6 Stück);1 L;
1350601-250-05-000;1.99;8;9;RAVENOL DOT 4 - 0,25L = 250 ml (VE 24 Stück);250 ml;
1350601-500-05-000;2.99;8;9;RAVENOL DOT 4 - 0,5L = 500 ml (VE 12 Stück);500 ml;
1350602-001-01-000;5.5;8;9;RAVENOL DOT 5.1 - 1 L (VE 6 Stück);1 L;
1350604-500-01-000;13.9;8;9;RAVENOL Racing Brake Fluid R 325+ - 0,5 L (VE 12 Stück);500 ml;
1350605-001-01-000;5.5;8;9;RAVENOL DOT 4 LV - 1 L (VE 10 Stück);1 L;
1350131-020-01-999;5.99;8;9;RAVENOL Calibration Fluid 2.5 - 20 L;plast;Bosch (VS 15665-OL)
1410120-150-01-999;3.99;8;9;RAVENOL HTC Concentrate Protect MB 325.0 - 1,50 L (VE 10 Stück);1,5 L;VW TL 774 C (G11) / 1:1 = - 37°C
1410122-150-01-999;2.99;8;9;RAVENOL HJC Concentrate Protect FL22 - 1,50 L (VE 10 Stück);1,5 L;MAZDA FL22 / 1:1 = - 37°C
1410128-150-01-999;3.99;8;9;RAVENOL LGC Concentrate Protect C13 - 1,50 L (VE 10 Stück);1,5 L;VW TL 774-J  G13 /  1:1 = - 35°C
1390201-300-05-000;3.99;8;9;RAVENOL Petrol Performance Optimizer Premium - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390202-300-05-000;4.59;8;9;RAVENOL Petrol System Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390203-300-05-000;4.59;8;9;RAVENOL Petrol Quality Stabilisator - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390204-300-05-000;3.99;8;9;RAVENOL Petrol Octane Booster - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390241-300-05-000;4.59;8;9;RAVENOL Diesel Performance Optimizer Premium - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390242-300-05-000;3.99;8;9;RAVENOL Diesel Cetane Booster - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390243-300-05-000;4.99;8;9;RAVENOL Diesel System Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390244-300-05-000;4.59;8;9;RAVENOL Diesel Quality Stabilisator - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1390321-300-05-000;5.99;8;9;RAVENOL Professional Engine Cleaner - 0,30 L = 300 ml (VE 12 Stück);300 ml;
1430220-001-01-000;6.5;8;9;RAVENOL Fließverbesserer - 1 L (VE 12 Stück);1 L;NEZÁMRZNÁ LÁTKA , 1:1000
1360066-005-01-000;2.99;8;9;RAVENOL Velour Reiniger - 5 L (VE 4 Stück);5 L;ČISTIČ ČALÚNENIA
1360066-500-05-000;2.2;8;9;RAVENOL Velour Reiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360067-005-01-000;2.99;8;9;RAVENOL Leder Reiniger - 5 L (VE 4 Stück);5 L;ČISTIČ KOŽE
1360067-500-05-000;2.2;8;9;RAVENOL Leder Reiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360060-005-01-000;3.99;8;9;RAVENOL ALUfelgen Reiniger - 5 L (VE 4 Stück);5 L;ČISTIČ KOLIES
1360060-500-05-000;3.2;8;9;RAVENOL ALUfelgen Reiniger - 500 ml (VE 12 Stück);500 ml;
1360025-500-05-000;1.99;8;9;RAVENOL Glasklar - 0,5L = 500 ml (VE 12 Stück);500 ml;ČISTIČ OKIEN
1360059-500-05-000;2.5;8;9;RAVENOL Insekten Entferner - 0,5L = 500 ml (VE 12 Stück);500 ml;ODSTRAŇOVAČ HMYZU
1360005-001-01-000;1.99;8;9;RAVENOL Auto-Shampoo - 1 L (VE 12 Stück);1 L;AUTO ŠAMPÓN
1360004-500-05-000;3.5;8;9;RAVENOL Teerentferner - 0,5L = 500 ml (VE 12 Stück);500 ml;ODSTRAŇOVAČ SMOLY
1360033-400-05-000;3.5;8;9;RAVENOL Silikon-Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;SILIKÓNOVÝ SPREJ
1360034-400-05-000;3.5;8;9;RAVENOL Motorstarter-Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;PRE DIESEL AJ BENZÍN MOTOR
1360001-500-05-000;3.5;8;9;RAVENOL Kaltreiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;ČISTIČ MOTORA
1360002-500-05-000;3.2;8;9;RAVENOL Kaltreiniger lösemittelfrei - 0,5L = 500 ml (VE 12 Stück);500 ml;ČISTIČ MOTORA
1360068-500-05-000;2.99;8;9;RAVENOL Bootsreiniger - 0,5L = 500 ml (VE 12 Stück);500 ml;ČISTIČ PRE LODE
1360009-400-05-000;2.99;8;9;RAVENOL Rostlöser MoS 2 Spray - 0,4L = 400 ml (VE 12 Stück);400 ml;UVOĽŇOVAČ SKRUTIEK
1360030-005-01-000;2.99;8;9;RAVENOL Bremsenreiniger - 5 L (VE 1 Stück);5 L;ČISTIČ BŔZD
1360030-500-05-000;1.99;8;9;RAVENOL Bremsenreiniger Spray - 0,5L = 500 ml (VE 12 Stück);500 ml;
1360600-010-01-000;2.2;8;9;RAVENOL Handreiniger - Paste - 10 L;vedro;ČISTIACA PASTA NA RUKY
1360600-500-05-000;2.5;8;9;RAVENOL Handreiniger - Paste - 500 ml (VE 24 Stück);500 ml;
1370190-001-02-000;23.9;8;9;RAVENOL Teleskopická pumpa na sud 50 - 210 Ltr;1 KS;
1370500-001-02-000;14.9;8;9;Ravenol Putzpapier blau 2-lg. 500Listov/ rolka, 2 rolky v balení;sada ;
