CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550053815;4.75;14;8;Advance 4T AX7 10W-40_12*1L
SH-550053817;4.60;14;8;Advance 4T AX7 15W-50 (SM/MA2)_12*1L
SH-550044443;4.34;14;8;Advance 4T AX7 15W-50_1*20L
SH-550044445;5.00;14;8;Advance 4T Ultra 10W-40 (SN/MA2) 1*20L
SH-550053785;5.19;14;8;Advance 4T Ultra 10W-40_12*1L
SH-550044442;4.90;14;8;Advance 4T Ultra 15W-50 (SM/MA2)_1*20L
SH-550053587;5.09;14;8;Advance 4T Ultra 15W-50 12*1L
SH-550053583;5.71;14;8;Advance Ultra 2T 12*1L
SH-550025731;4.16;14;8;Heat Transfer Oil S2 1*209L
SH-100005732;4.07;14;8;Heat Transfer S2 IBC_1*1000L
SH-550025730;4.07;14;8;Heat Transfer S2_1*1000L
SH-550025732;4.48;14;8;Heat Transfer S2_1*20L
SH-550046596;3.39;14;8;Helix HX3 15W-40_12x1L
SH-550039926;3.38;14;8;Helix HX3 15W-40_4*4L
SH-550052344;3.43;14;8;Helix HX5 15W-40_1*209L
SH-550046277;3.90;14;8;Helix HX5 15W-40_12*1L
SH-550039983;2.79;14;8;Helix HX5 15W-40_4*4L
SH-550046285;3.43;14;8;Helix HX5 15W-40_4*4L
SH-550053775;3.48;14;8;Helix HX6 10W-40 12*1L
SH-550053777;3.59;14;8;Helix HX6 10W-40 3*5L
SH-550052688;3.35;14;8;Helix HX6 10W-40_1*209L
SH-550053774;3.40;14;8;Helix HX6 10W-40_1*55L
SH-550052508;3.64;14;8;Helix HX7 10W-40_1*209L
SH-550053787;3.71;14;8;Helix HX7 10W-40_1*55L
SH-550053736;3.84;14;8;Helix HX7 10W-40_12*1L
SH-550053737;3.69;14;8;Helix HX7 10W-40_4*4L
SH-550052432;3.64;14;8;Helix HX7 5W-40_1*209L
SH-550053752;3.67;14;8;Helix HX7 5W-40_1*55L
SH-550053739;3.84;14;8;Helix HX7 5W-40_12*1L
SH-550053770;3.96;14;8;Helix HX7 5W-40_4*4L
SH-550046589;5.00;14;8;Helix HX7 Professional AF 5W-30 12*1L
SH-550040412;4.07;14;8;Helix HX7 Professional AV 5W-30_1*209L
SH-550040406;4.26;14;8;Helix HX7 Professional AV 5W-30_1*55L
SH-550046311;4.89;14;8;Helix HX7 Professional AV 5W-30_12*1L
SH-550046292;4.86;14;8;Helix HX7 Professional AV 5W-30_3*5L
SH-550052836;4.04;14;8;Helix HX8 5W-40_1*209L
SH-550052792;4.05;14;8;Helix HX8 5W-40_1*55L
SH-550052794;4.59;14;8;Helix HX8 5W-40_12*1L
SH-550052837;4.49;14;8;Helix HX8 5W-40_4*4L
SH-550048141;4.05;14;8;Helix HX8 ECT 5W-30 1*55L
SH-550048056;4.05;14;8;Helix HX8 ECT 5W-30_1*209L
SH-550048096;4.42;14;8;Helix HX8 ECT 5W-30_1*20L
SH-550048140;5.29;14;8;Helix HX8 ECT 5W-30_12*1L
SH-550048100;5.06;14;8;Helix HX8 ECT 5W-30_3*5L
SH-550046688;4.06;14;8;Helix HX8 ECT 5W-40_1*55L
SH-550046689;4.22;14;8;Helix HX8 ECT 5W-40_3*5L
SH-550052462;5.40;14;8;Helix Ultra 0W-40_1*209L
SH-550065926;6.09;14;8;Helix Ultra 0W-40_12*1L
SH-550046267;5.46;14;8;Helix Ultra 5W-30 12*1L
SH-550040161;5.10;14;8;Helix Ultra 5W-30_1*209L
SH-550046268;4.91;14;8;Helix Ultra 5W-30_4*4L
SH-550052677;5.08;14;8;Helix Ultra 5W-40 12*1L
SH-550052360;4.19;14;8;Helix Ultra 5W-40_1*209L
SH-550052673;4.50;14;8;Helix Ultra 5W-40_1*55L
SH-550052679;5.01;14;8;Helix Ultra 5W-40_4*4L
SH-550040501;4.89;14;8;Helix Ultra A5/B5 0W-30_1*209L
SH-550046659;5.82;14;8;Helix Ultra A5/B5 0W-30_12*1L
SH-550047964;5.67;14;8;Helix Ultra ECT AH 5W-30_12*1L
SH-550046306;5.51;14;8;Helix Ultra ECT C2/C3 0W_30_4*4L
SH-550042331;5.11;14;8;Helix Ultra ECT C2/C3 0W-30_1*209L
SH-550045937;5.61;14;8;Helix Ultra ECT C2/C3 0W-30_1*20L
SH-550042232;5.17;14;8;Helix Ultra ECT C2/C3 0W-30_1*55L
SH-550046305;5.94;14;8;Helix Ultra ECT C2/C3 0W-30_12*1L
SH-550042824;5.10;14;8;Helix Ultra ECT C3 5W-30 1*209L
SH-550042823;5.17;14;8;Helix Ultra ECT C3 5W-30 1*55L
SH-550050441;5.48;14;8;Helix Ultra ECT C3 5W-30 4*4L
SH-550049781;5.94;14;8;Helix Ultra ECT C3 5W-30_12*1L
SH-550055209;5.39;14;8;Helix Ultra Professional AB-L 0W-30 12*1L
SH-550042278;4.28;14;8;Helix Ultra Professional AF 5W-20_1*209L
SH-550055210;6.05;14;8;Helix Ultra Professional AF 5W-20_12*1L
SH-550040537;4.41;14;8;Helix Ultra Professional AF 5W-30 1*55L
SH-550040265;3.86;14;8;Helix Ultra Professional AF 5W-30_1*209L
SH-550046288;5.00;14;8;Helix Ultra Professional AF 5W-30_12*1L
SH-550046300;5.15;14;8;Helix Ultra Professional AG  5W-30_12*1L
SH-550040209;4.29;14;8;Helix Ultra Professional AG 5W-30_1*209L
SH-550040685;4.70;14;8;Helix Ultra Professional AG 5W-30_1*55L
SH-550040211;4.25;14;8;Helix Ultra Professional AM-L 5W-30_1*209L
SH-550042598;4.70;14;8;Helix Ultra Professional AM-L 5W-30_1*55L
SH-550046302;5.97;14;8;Helix Ultra Professional AM-L 5W-30_12*1L
SH-550043466;5.71;14;8;Helix Ultra Professional AP-L 0W-30_1*209L
SH-550054034;7.07;14;8;Helix Ultra Professional AP-L 0W-30_12*1L
SH-550040213;4.70;14;8;Helix Ultra Professional AP-L 5W-30_1*209L
SH-550046655;5.87;14;8;Helix Ultra Professional AP-L 5W-30_12*1L
SH-550040210;5.20;14;8;Helix Ultra Professional AR-L 5W-30_1*209L
SH-550063272;5.62;14;8;Helix Ultra Professional AR-L 5W-30_12*1L
SH-550063272;5.42;14;8;Helix Ultra Professional AR-L 5W-30_12*1L
SH-550045106;5.61;14;8;Helix Ultra Professional AS-L 0W-20_1*209L
SH-550055735;7.63;14;8;Helix Ultra Professional AS-L 0W-20_12*1L
SH-550040149;5.94;14;8;Helix Ultra Professional AV 0W-30_1*209L
SH-550047886;5.76;14;8;Helix Ultra Professional AV-L 0W-20 1*20L
SH-550053643;7.45;14;8;Helix Ultra Professional AV-L 0W-20 1*20L (Ecopack)
SH-550048041;6.98;14;8;Helix Ultra Professional AV-L 0W-20 12*1L
SH-550060201;5.19;14;8;Helix Ultra Professional AV-L 0W-20_1*55L
SH-550041875;4.84;14;8;Helix Ultra Professional AV-L 0W-30_1*209L
SH-550041876;5.30;14;8;Helix Ultra Professional AV-L 0W-30_1*20L
SH-550041872;4.80;14;8;Helix Ultra Professional AV-L 0W-30_1*55L
SH-550046303;5.46;14;8;Helix Ultra Professional AV-L 0W-30_12*1L
SH-550046304;5.33;14;8;Helix Ultra Professional AV-L 0W-30_3*5L
SH-550046314;7.95;14;8;Helix Ultra Racing 10W-60 12*1L
SH-550040194;7.03;14;8;Helix Ultra Racing 10W-60_1*209L
SH-550040202;7.21;14;8;Helix Ultra Racing 10W-60_1*20L
SH-550046672;7.54;14;8;Helix Ultra Racing 10W-60_4*4L
SH-550052651;5.72;14;8;Helix Ultra SN plus 0W-20_12*1L
SH-550063070;5.72;14;8;Helix Ultra SP 0W-20_12*1L
SH-550032224;2.89;14;8;Rimula R3 10W (CF)_1*209L
SH-550032225;3.35;14;8;Rimula R3 10W (CF)_1*20L
SH-550041568;2.98;14;8;Rimula R3 Turbo 15W-40_1*209L
SH-550041567;3.35;14;8;Rimula R3 Turbo 15W-40_1*20L
SH-550045021;3.45;14;8;Rimula R3 Turbo 15W-40_3*5L
SH-550031958;3.25;14;8;Rimula R3+ 30_1*209L
SH-550033221;3.55;14;8;Rimula R3+ 30_1*20L
SH-550047252;2.58;14;8;Rimula R4 L 15W-40 1*209L
SH-550047251;3.27;14;8;Rimula R4 L 15W-40 1*20L
SH-550047336;3.10;14;8;Rimula R4 L 15W-40 1*55L
SH-550047337;3.60;14;8;Rimula R4 L 15W-40 3*5L
SH-100010314;2.63;14;8;Rimula R4 L 15W-40 IBC 1*1000L
SH-550036747;2.76;14;8;Rimula R4 X 15W40 1*1000L
SH-550036775;2.94;14;8;Rimula R4 X 15W40 1*209L
SH-550036738;3.20;14;8;Rimula R4 X 15W40_1*20L
SH-550055173;3.47;14;8;Rimula R4 X 15W-40_3*5L
SH-550033234;3.07;14;8;Rimula R5 E 10W-40_1*1000L
SH-550033236;3.24;14;8;Rimula R5 E 10W-40_1*209L
SH-550033235;3.60;14;8;Rimula R5 E 10W-40_1*20L
SH-550043120;3.50;14;8;Rimula R5 E 10W-40_1*55L
SH-550047175;3.45;14;8;Rimula R5 LE 10W-30 1*209L
SH-550047311;3.66;14;8;Rimula R5 LE 10W-30 1*20L
SH-100010312;3.41;14;8;Rimula R5 LE 10W-30 IBC_1*1000L
SH-550029381;3.55;14;8;Rimula R5 LM 10W-40_1*209L
SH-550043095;3.55;14;8;Rimula R5 M 10W-40_1*209L
SH-550044859;3.40;14;8;Rimula R6 LM 10W-40_1*209L
SH-550044858;4.05;14;8;Rimula R6 LM 10W-40_1*20L
SH-550054436;4.77;14;8;Rimula R6 LM 10W-40_3*5L
SH-550039382;3.62;14;8;Rimula R6 LME 5W-30_1*1000L
SH-550043091;3.83;14;8;Rimula R6 LME 5W-30_1*209L
SH-550043092;4.23;14;8;Rimula R6 LME 5W-30_1*20L
SH-550053997;4.82;14;8;Rimula R6 LME 5W-30_3*5L
SH-550052713;4.11;14;8;Rimula R6 LME Plus 5W-30_1*209L
SH-550052712;4.70;14;8;Rimula R6 LME Plus 5W-30_1*20L
SH-550053680;5.48;14;8;Rimula R6 LME Plus 5W-30_3*5L
SH-100009698;3.26;14;8;Rimula R6 M 10W-40 IBC_1*1000L
SH-550044826;3.42;14;8;Rimula R6 M 10W-40_1*209L
SH-550044843;3.85;14;8;Rimula R6 M 10W-40_1*20L
SH-550044856;4.10;14;8;Rimula R6 M 10W-40_1*55L
SH-550054435;4.11;14;8;Rimula R6 M 10W-40_3*5L
SH-550044869;3.44;14;8;Rimula R6 M 10W-40_4*4L
SH-550040121;3.94;14;8;Rimula R6 ME 5W30_1*209L
SH-550040122;4.36;14;8;Rimula R6 ME 5W30_1*20L
SH-550035977;3.36;14;8;Rimula R6 MS 10W40 E7LDF3_1*209L
SH-550036000;4.08;14;8;Rimula R6 MS 10W40 E7LDF3_1*20L
SH-550035976;3.73;14;8;Rimula R6 MS 10W40E 7LDF3_1*1000L
SH-550062541;4.85;14;8;Rimula R7 AD 5W-30_1*209L
SH-550062543;4.54;14;8;Rimula R7 Plus AM 5W-20_1*209L
SH-550044853;4.01;14;8;Rimula Ultra 5W-30_1*1000L
SH-550044850;4.26;14;8;Rimula Ultra 5W-30_1*209L
SH-550044854;4.75;14;8;Rimula Ultra 5W-30_1*20L
SH-550054434;5.28;14;8;Rimula Ultra 5W-30_3*5L
SH-550013776;5.13;14;8;Spirax MB 90_1*209L
SH-550027798;4.07;14;8;Spirax S1 ATF TASA_1*209L
SH-550027903;3.46;14;8;Spirax S2 A 80W-90 1*209L
SH-550027904;3.72;14;8;Spirax S2 A 80W-90 1*20L
SH-550027938;3.66;14;8;Spirax S2 A 85W-140 1*209L
SH-550027934;3.97;14;8;Spirax S2 A 85W-140 1*20L
SH-550027905;3.63;14;8;Spirax S2 ALS 90 1*209L
SH-550027908;4.17;14;8;Spirax S2 ALS 90 1*20L
SH-550027804;3.91;14;8;Spirax S2 ATF AX 1*209L
SH-550027799;4.27;14;8;Spirax S2 ATF AX 1*20L
SH-550027913;3.46;14;8;Spirax S2 G 80W-90 1*209L
SH-550027930;3.87;14;8;Spirax S2 G 80W-90 1*20L
SH-550055993;4.68;14;8;Spirax S3 ALS 85W-90_1*209L
SH-550027942;4.38;14;8;Spirax S3 AM 80W-90 1*209L
SH-550027941;4.93;14;8;Spirax S3 AM 80W-90 1*20L
SH-550027929;4.02;14;8;Spirax S3 AS 80W-140 1*209L
SH-550027976;5.08;14;8;Spirax S3 AS 80W-140 1*20L
SH-550027956;3.51;14;8;Spirax S3 AX 80W-90 1*1000L
SH-550027910;3.62;14;8;Spirax S3 AX 80W-90 1*209L
SH-550027911;3.99;14;8;Spirax S3 AX 80W-90 1*20L
SH-550027988;4.02;14;8;Spirax S3 AX 85W-140 1*209L
SH-550027955;4.42;14;8;Spirax S3 AX 85W-140 1*20L
SH-550027937;3.56;14;8;Spirax S3 G 80W 1*209L
SH-550027959;4.07;14;8;Spirax S3 G 80W_1*20L
SH-550027964;3.72;14;8;Spirax S3 G 80W-90 1*209L
SH-550027961;4.22;14;8;Spirax S3 G 80W-90 1*20L
SH-550027986;3.44;14;8;Spirax S3 T 1*209L
SH-550027987;3.76;14;8;Spirax S3 T 1*20L
SH-550027811;3.24;14;8;Spirax S3 TLV 1*209L
SH-550027820;3.82;14;8;Spirax S3 TLV 1*20L
SH-550027812;3.19;14;8;Spirax S3 TLV_1*1000L
SH-550027812;3.33;14;8;Spirax S3 TLV_1*1000L
SH-550027842;4.88;14;8;Spirax S4 ATF HDX 1*209L
SH-550027841;5.29;14;8;Spirax S4 ATF HDX 1*20L
SH-550027965;6.05;14;8;Spirax S4 ATF HDX 12*1L
SH-550027805;3.67;14;8;Spirax S4 CX 10W 1*209L
SH-550027807;4.02;14;8;Spirax S4 CX 10W_1*20L
SH-550027806;3.72;14;8;Spirax S4 CX 30 1*209L
SH-550027949;3.97;14;8;Spirax S4 CX 30_1*20L
SH-550027808;3.81;14;8;Spirax S4 CX 50_1*209L
SH-550054730;6.17;14;8;Spirax S4 G 75W-80 12*1L
SH-550027789;6.17;14;8;Spirax S4 G 75W-90 1*20L
SH-550027967;6.37;14;8;Spirax S4 G 75W-90 12*1L
SH-550027932;3.58;14;8;Spirax S4 TX 1*209L
SH-550027933;3.92;14;8;Spirax S4 TX 1*20L
SH-550027963;3.03;14;8;Spirax S4 TXM 1*1000L
SH-550027809;3.14;14;8;Spirax S4 TXM 1*209L
SH-550027810;3.48;14;8;Spirax S4 TXM 1*20L
SH-550027931;7.56;14;8;Spirax S5 ATE 75W-90_1*20L
SH-550036842;8.93;14;8;Spirax S6 ATF A295_1*20L
SH-550044224;6.64;14;8;Spirax S6 ATF ZM_1*1000L
SH-550044222;6.66;14;8;Spirax S6 ATF ZM_1*209L
SH-550027957;7.66;14;8;Spirax S6 AXME 75W140_1*209L
SH-550027907;5.53;14;8;Spirax S6 AXME 75W-90 1*209L
SH-550027906;5.89;14;8;Spirax S6 AXME 75W-90 1*20L
SH-550049074;6.91;14;8;Spirax S6 AXME 75W90_12*1L
SH-550040795;5.53;14;8;Spirax S6 GVME 75W-80_1*209L
